Release Year,Case,Region,Division,Sector,Year,Natural Gas,Distillate Oil,Electricity,Propane,Residual Fuel Oil,Coal
2024,lowZTC,Midwest,East North Central,Commercial,2024,1,1,1,1,1,
2024,lowZTC,Midwest,East North Central,Commercial,2025,0.926183887031805,0.889004495088673,0.963232193586466,0.913559253386542,1.00906710697898,
2024,lowZTC,Midwest,East North Central,Commercial,2026,0.872262114939289,0.827940350570608,0.942658704317025,0.868160256484594,1.10926232660158,
2024,lowZTC,Midwest,East North Central,Commercial,2027,0.840381699136947,0.774279925238819,0.918528206147401,0.84359314693325,1.2572747199418,
2024,lowZTC,Midwest,East North Central,Commercial,2028,0.822925163107533,0.725493605127122,0.900912251163429,0.835752646343116,1.40222212158046,
2024,lowZTC,Midwest,East North Central,Commercial,2029,0.827579845227626,0.728395136977613,0.888322202658353,0.835341136245584,1.40987073373868,
2024,lowZTC,Midwest,East North Central,Commercial,2030,0.832029888809844,0.72607157005356,0.876923051500947,0.842936028916308,1.4154782340612,
2024,lowZTC,Midwest,East North Central,Commercial,2031,0.842805869457988,0.731391367216154,0.867548167453302,0.8559562776363,1.42826172268177,
2024,lowZTC,Midwest,East North Central,Commercial,2032,0.850781222097487,0.734758846355099,0.869855091666017,0.873303656719402,1.43835821481554,
2024,lowZTC,Midwest,East North Central,Commercial,2033,0.862874563333214,0.73918740829578,0.862881410954074,0.896322302670307,1.44912894903204,
2024,lowZTC,Midwest,East North Central,Commercial,2034,0.874818166110507,0.743529522649881,0.855122431415919,0.919892960641634,1.46525799134236,
2024,lowZTC,Midwest,East North Central,Commercial,2035,0.884853900632545,0.747327715925054,0.843762277805243,0.935577553340103,1.47183857744996,
2024,lowZTC,Midwest,East North Central,Commercial,2036,0.886752719424155,0.751653960494345,0.844852556675258,0.94312052044647,1.48496827603228,
2024,lowZTC,Midwest,East North Central,Commercial,2037,0.894995936187526,0.755958128594836,0.83790405311598,0.948574651912652,1.49410051161793,
2024,lowZTC,Midwest,East North Central,Commercial,2038,0.904968083145024,0.760623325008324,0.840872343273351,0.957720604462033,1.50739931605614,
2024,lowZTC,Midwest,East North Central,Commercial,2039,0.909813165980194,0.762125454031013,0.841408694740394,0.963128695261152,1.51560977930439,
2024,lowZTC,Midwest,East North Central,Commercial,2040,0.917901697245005,0.76650373068165,0.848386221127206,0.97503003461185,1.52619229496382,
2024,lowZTC,Midwest,East North Central,Commercial,2041,0.924809937131566,0.772662210663997,0.856048427862575,0.983607618588037,1.54223252553779,
2024,lowZTC,Midwest,East North Central,Commercial,2042,0.925523276185769,0.774680460767866,0.864447682222271,0.987265125527456,1.54942347160195,
2024,lowZTC,Midwest,East North Central,Commercial,2043,0.92064585660051,0.775740019772934,0.864565486059504,0.986957509829942,1.54513225469835,
2024,lowZTC,Midwest,East North Central,Commercial,2044,0.913847658191864,0.775332199752498,0.866277201953062,0.987262399435327,1.54900745873163,
2024,lowZTC,Midwest,East North Central,Commercial,2045,0.910459539003429,0.77824447251121,0.866858379567809,0.989233926571367,1.55635608458035,
2024,lowZTC,Midwest,East North Central,Commercial,2046,0.910216410080185,0.781270286704573,0.85429254679668,0.988371789117821,1.5624876260841,
2024,lowZTC,Midwest,East North Central,Commercial,2047,0.908316505352939,0.788094182675792,0.851964020707156,0.987894073925733,1.57514480467962,
2024,lowZTC,Midwest,East North Central,Commercial,2048,0.902780526133403,0.787260740229945,0.847391753641261,0.98564686531426,1.58451117085446,
2024,lowZTC,Midwest,East North Central,Commercial,2049,0.895202263958617,0.787573490204608,0.84159304677948,0.979632803179091,1.58858892797067,
2024,lowZTC,Midwest,East North Central,Commercial,2050,0.889467075879391,0.78773322869434,0.830987036019702,0.976840549227079,1.59584614524864,
