Release Year,PADD REGION,Case,rate,Year,kg CO2 eq / MJ
2023,PADD 1,lowZTC,avg,2023,0.09934
2023,PADD 1,lowZTC,avg,2024,0.09932
2023,PADD 1,lowZTC,avg,2025,0.0993
2023,PADD 1,lowZTC,avg,2026,0.099296
2023,PADD 1,lowZTC,avg,2027,0.099292
2023,PADD 1,lowZTC,avg,2028,0.099288
2023,PADD 1,lowZTC,avg,2029,0.099284
2023,PADD 1,lowZTC,avg,2030,0.09928
2023,PADD 1,lowZTC,avg,2031,0.099284
2023,PADD 1,lowZTC,avg,2032,0.099288
2023,PADD 1,lowZTC,avg,2033,0.099292
2023,PADD 1,lowZTC,avg,2034,0.099296
2023,PADD 1,lowZTC,avg,2035,0.0993
2023,PADD 1,lowZTC,avg,2036,0.09929
2023,PADD 1,lowZTC,avg,2037,0.09928
2023,PADD 1,lowZTC,avg,2038,0.09927
2023,PADD 1,lowZTC,avg,2039,0.09926
2023,PADD 1,lowZTC,avg,2040,0.09925
2023,PADD 1,lowZTC,avg,2041,0.099242
2023,PADD 1,lowZTC,avg,2042,0.099234
2023,PADD 1,lowZTC,avg,2043,0.099226
2023,PADD 1,lowZTC,avg,2044,0.099218
2023,PADD 1,lowZTC,avg,2045,0.09921
2023,PADD 1,lowZTC,avg,2046,0.099212
2023,PADD 1,lowZTC,avg,2047,0.099214
2023,PADD 1,lowZTC,avg,2048,0.099216
2023,PADD 1,lowZTC,avg,2049,0.099218
2023,PADD 1,lowZTC,avg,2050,0.09922
2023,PADD 1,lowZTC,avg,2051,0.09922
2023,PADD 1,lowZTC,avg,2052,0.09922
2023,PADD 1,lowZTC,avg,2053,0.09922
2023,PADD 1,lowZTC,avg,2054,0.09922
2023,PADD 1,lowZTC,avg,2055,0.09922
2023,PADD 1,lowZTC,avg,2056,0.09922
2023,PADD 1,lowZTC,avg,2057,0.09922
2023,PADD 1,lowZTC,avg,2058,0.09922
2023,PADD 1,lowZTC,avg,2059,0.09922
2023,PADD 1,lowZTC,avg,2060,0.09922
2023,PADD 1,lowZTC,avg,2061,0.09922
2023,PADD 1,lowZTC,avg,2062,0.09922
2023,PADD 1,lowZTC,avg,2063,0.09922
2023,PADD 1,lowZTC,avg,2064,0.09922
2023,PADD 1,lowZTC,avg,2065,0.09922
2023,PADD 1,lowZTC,avg,2066,0.09922
2023,PADD 2,lowZTC,avg,2023,0.093185
2023,PADD 2,lowZTC,avg,2024,0.0932075
2023,PADD 2,lowZTC,avg,2025,0.09323
2023,PADD 2,lowZTC,avg,2026,0.093238
2023,PADD 2,lowZTC,avg,2027,0.093246
2023,PADD 2,lowZTC,avg,2028,0.093254
2023,PADD 2,lowZTC,avg,2029,0.093262
2023,PADD 2,lowZTC,avg,2030,0.09327
2023,PADD 2,lowZTC,avg,2031,0.093252
2023,PADD 2,lowZTC,avg,2032,0.093234
2023,PADD 2,lowZTC,avg,2033,0.093216
2023,PADD 2,lowZTC,avg,2034,0.093198
2023,PADD 2,lowZTC,avg,2035,0.09318
2023,PADD 2,lowZTC,avg,2036,0.093182
2023,PADD 2,lowZTC,avg,2037,0.093184
2023,PADD 2,lowZTC,avg,2038,0.093186
2023,PADD 2,lowZTC,avg,2039,0.093188
2023,PADD 2,lowZTC,avg,2040,0.09319
2023,PADD 2,lowZTC,avg,2041,0.093196
2023,PADD 2,lowZTC,avg,2042,0.093202
2023,PADD 2,lowZTC,avg,2043,0.093208
2023,PADD 2,lowZTC,avg,2044,0.093214
2023,PADD 2,lowZTC,avg,2045,0.09322
2023,PADD 2,lowZTC,avg,2046,0.093226
2023,PADD 2,lowZTC,avg,2047,0.093232
2023,PADD 2,lowZTC,avg,2048,0.093238
2023,PADD 2,lowZTC,avg,2049,0.093244
2023,PADD 2,lowZTC,avg,2050,0.09325
2023,PADD 2,lowZTC,avg,2051,0.09325
2023,PADD 2,lowZTC,avg,2052,0.09325
2023,PADD 2,lowZTC,avg,2053,0.09325
2023,PADD 2,lowZTC,avg,2054,0.09325
2023,PADD 2,lowZTC,avg,2055,0.09325
2023,PADD 2,lowZTC,avg,2056,0.09325
2023,PADD 2,lowZTC,avg,2057,0.09325
2023,PADD 2,lowZTC,avg,2058,0.09325
2023,PADD 2,lowZTC,avg,2059,0.09325
2023,PADD 2,lowZTC,avg,2060,0.09325
2023,PADD 2,lowZTC,avg,2061,0.09325
2023,PADD 2,lowZTC,avg,2062,0.09325
2023,PADD 2,lowZTC,avg,2063,0.09325
2023,PADD 2,lowZTC,avg,2064,0.09325
2023,PADD 2,lowZTC,avg,2065,0.09325
2023,PADD 2,lowZTC,avg,2066,0.09325
2023,PADD 3,lowZTC,avg,2023,0.09953
2023,PADD 3,lowZTC,avg,2024,0.099515
2023,PADD 3,lowZTC,avg,2025,0.0995
2023,PADD 3,lowZTC,avg,2026,0.09949
2023,PADD 3,lowZTC,avg,2027,0.09948
2023,PADD 3,lowZTC,avg,2028,0.09947
2023,PADD 3,lowZTC,avg,2029,0.09946
2023,PADD 3,lowZTC,avg,2030,0.09945
2023,PADD 3,lowZTC,avg,2031,0.099488
2023,PADD 3,lowZTC,avg,2032,0.099526
2023,PADD 3,lowZTC,avg,2033,0.099564
2023,PADD 3,lowZTC,avg,2034,0.099602
2023,PADD 3,lowZTC,avg,2035,0.09964
2023,PADD 3,lowZTC,avg,2036,0.09965
2023,PADD 3,lowZTC,avg,2037,0.09966
2023,PADD 3,lowZTC,avg,2038,0.09967
2023,PADD 3,lowZTC,avg,2039,0.09968
2023,PADD 3,lowZTC,avg,2040,0.09969
2023,PADD 3,lowZTC,avg,2041,0.099684
2023,PADD 3,lowZTC,avg,2042,0.099678
2023,PADD 3,lowZTC,avg,2043,0.099672
2023,PADD 3,lowZTC,avg,2044,0.099666
2023,PADD 3,lowZTC,avg,2045,0.09966
2023,PADD 3,lowZTC,avg,2046,0.09965
2023,PADD 3,lowZTC,avg,2047,0.09964
2023,PADD 3,lowZTC,avg,2048,0.09963
2023,PADD 3,lowZTC,avg,2049,0.09962
2023,PADD 3,lowZTC,avg,2050,0.09961
2023,PADD 3,lowZTC,avg,2051,0.09961
2023,PADD 3,lowZTC,avg,2052,0.09961
2023,PADD 3,lowZTC,avg,2053,0.09961
2023,PADD 3,lowZTC,avg,2054,0.09961
2023,PADD 3,lowZTC,avg,2055,0.09961
2023,PADD 3,lowZTC,avg,2056,0.09961
2023,PADD 3,lowZTC,avg,2057,0.09961
2023,PADD 3,lowZTC,avg,2058,0.09961
2023,PADD 3,lowZTC,avg,2059,0.09961
2023,PADD 3,lowZTC,avg,2060,0.09961
2023,PADD 3,lowZTC,avg,2061,0.09961
2023,PADD 3,lowZTC,avg,2062,0.09961
2023,PADD 3,lowZTC,avg,2063,0.09961
2023,PADD 3,lowZTC,avg,2064,0.09961
2023,PADD 3,lowZTC,avg,2065,0.09961
2023,PADD 3,lowZTC,avg,2066,0.09961
2023,PADD 4,lowZTC,avg,2023,0.085935
2023,PADD 4,lowZTC,avg,2024,0.0860425
2023,PADD 4,lowZTC,avg,2025,0.08615
2023,PADD 4,lowZTC,avg,2026,0.086164
2023,PADD 4,lowZTC,avg,2027,0.086178
2023,PADD 4,lowZTC,avg,2028,0.086192
2023,PADD 4,lowZTC,avg,2029,0.086206
2023,PADD 4,lowZTC,avg,2030,0.08622
2023,PADD 4,lowZTC,avg,2031,0.086234
2023,PADD 4,lowZTC,avg,2032,0.086248
2023,PADD 4,lowZTC,avg,2033,0.086262
2023,PADD 4,lowZTC,avg,2034,0.086276
2023,PADD 4,lowZTC,avg,2035,0.08629
2023,PADD 4,lowZTC,avg,2036,0.086336
2023,PADD 4,lowZTC,avg,2037,0.086382
2023,PADD 4,lowZTC,avg,2038,0.086428
2023,PADD 4,lowZTC,avg,2039,0.086474
2023,PADD 4,lowZTC,avg,2040,0.08652
2023,PADD 4,lowZTC,avg,2041,0.08654
2023,PADD 4,lowZTC,avg,2042,0.08656
2023,PADD 4,lowZTC,avg,2043,0.08658
2023,PADD 4,lowZTC,avg,2044,0.0866
2023,PADD 4,lowZTC,avg,2045,0.08662
2023,PADD 4,lowZTC,avg,2046,0.08662
2023,PADD 4,lowZTC,avg,2047,0.08662
2023,PADD 4,lowZTC,avg,2048,0.08662
2023,PADD 4,lowZTC,avg,2049,0.08662
2023,PADD 4,lowZTC,avg,2050,0.08662
2023,PADD 4,lowZTC,avg,2051,0.08662
2023,PADD 4,lowZTC,avg,2052,0.08662
2023,PADD 4,lowZTC,avg,2053,0.08662
2023,PADD 4,lowZTC,avg,2054,0.08662
2023,PADD 4,lowZTC,avg,2055,0.08662
2023,PADD 4,lowZTC,avg,2056,0.08662
2023,PADD 4,lowZTC,avg,2057,0.08662
2023,PADD 4,lowZTC,avg,2058,0.08662
2023,PADD 4,lowZTC,avg,2059,0.08662
2023,PADD 4,lowZTC,avg,2060,0.08662
