ZIP Code,State Abbr,REEDS-GEA,BA,PADD,Technobasin,cambium_gea
1105,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1106,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1107,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1108,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1109,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1111,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1115,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1116,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1118,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1119,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1128,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1129,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1138,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1139,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1144,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1151,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1152,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1199,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1201,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1202,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1203,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1220,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1222,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1223,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1224,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1225,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1226,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1227,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1229,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1230,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1235,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1236,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1237,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1238,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1240,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1242,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1243,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1244,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1245,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1247,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1252,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1253,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1254,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1255,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1256,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1257,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1258,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1259,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1260,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1262,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1263,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1264,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1266,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1267,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1270,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1301,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1302,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1330,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1331,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1337,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1338,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1339,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1340,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1341,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1342,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1343,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1344,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1346,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1347,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1349,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1350,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1351,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1354,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1355,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1360,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1364,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1366,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1367,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1368,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1370,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1373,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1375,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1376,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1378,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1379,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1380,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1420,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1430,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1431,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1432,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1434,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1436,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1438,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1440,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1441,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1450,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1451,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1452,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1453,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1460,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1462,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1463,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1464,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1467,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1468,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1469,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1470,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1471,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1472,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1473,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1474,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1475,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1501,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1503,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1504,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1505,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1506,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1507,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1508,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1509,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1510,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1515,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1516,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1518,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1519,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1520,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1521,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1522,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1523,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1524,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1525,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1526,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1527,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1529,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1531,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1532,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1534,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1535,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1536,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1537,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1538,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1540,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1541,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1542,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1543,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1545,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1546,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1550,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1560,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1561,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1562,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1564,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1566,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1568,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1569,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1570,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1571,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1581,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1583,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1585,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1586,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1588,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1590,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1601,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1602,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1603,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1604,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1605,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1606,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1607,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1608,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1609,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1610,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1611,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1612,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1613,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1614,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1615,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1653,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1655,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1701,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1702,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1703,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1704,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1705,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1718,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1719,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1720,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1721,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1730,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1731,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1740,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1741,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1742,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1745,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1746,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1747,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1748,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1749,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1752,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1754,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1756,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1757,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1760,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1770,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1772,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1773,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1775,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1776,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1778,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1784,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1801,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1803,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1805,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1810,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1812,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1813,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1815,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1821,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1822,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1824,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1826,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1827,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1830,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1831,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1832,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1833,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1834,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1835,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1840,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1841,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1842,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1843,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1844,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1845,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1850,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1851,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1852,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1853,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1854,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1860,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1862,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1863,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1864,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1865,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1866,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1867,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1876,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1879,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1880,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1885,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1886,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1887,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1888,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1889,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1890,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1899,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1901,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1902,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1903,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1904,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1905,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1906,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1907,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1908,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1910,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1913,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1915,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1921,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1922,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1923,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1929,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1930,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1931,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1936,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1937,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1938,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1940,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1944,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1945,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1949,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1950,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1951,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1952,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1960,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1961,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1965,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1966,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1969,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1970,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1971,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1982,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1983,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1984,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1985,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2018,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2019,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2020,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2021,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2025,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2026,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2027,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2030,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2032,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2035,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2038,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2040,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2041,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2043,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2044,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2045,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2047,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2048,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2050,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2051,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2052,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2053,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2054,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2055,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2056,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2059,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2060,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2061,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2062,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2065,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2066,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2067,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2070,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2071,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2072,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2081,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2090,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2093,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2108,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2109,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2110,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2111,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2112,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2113,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2114,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2115,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2116,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2117,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2118,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
2119,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
