ZIP Code,State Abbr,REEDS-GEA,BA,PADD,Technobasin,cambium_gea
501,NY,p128,ISO-NE,PADD 1,Appalachian,NYISO
544,NY,p128,ISO-NE,PADD 1,Appalachian,NYISO
1001,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1002,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1003,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1004,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1005,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1007,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1008,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1009,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1010,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1011,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1012,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1013,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1014,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1020,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1021,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1022,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1026,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1027,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1028,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1029,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1030,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1031,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1032,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1033,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1034,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1035,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1036,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1037,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1038,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1039,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1040,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1041,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1050,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1053,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1054,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1056,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1057,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1059,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1060,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1061,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1062,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1063,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1066,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1068,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1069,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1070,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1071,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1072,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1073,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1074,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1075,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1077,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1079,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1080,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1081,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1082,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1083,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1084,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1085,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1086,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1088,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1089,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1090,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1092,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1093,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1094,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1095,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1096,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1097,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1098,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1101,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1102,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1103,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
1104,MA,p131,ISO-NE,PADD 1,Appalachian,ISONE
