Release Year,PADD REGION,Case,Rate,Year,kg CO2 eq / MJ
2023,PADD 1,LRC,avg,2021,0.08315
2023,PADD 1,LRC,avg,2022,0.08313
2023,PADD 1,LRC,avg,2023,0.08311
2023,PADD 1,LRC,avg,2024,0.08309
2023,PADD 1,LRC,avg,2025,0.08307
2023,PADD 1,LRC,avg,2026,0.083068
2023,PADD 1,LRC,avg,2027,0.083066
2023,PADD 1,LRC,avg,2028,0.083064
2023,PADD 1,LRC,avg,2029,0.083062
2023,PADD 1,LRC,avg,2030,0.08306
2023,PADD 1,LRC,avg,2031,0.083062
2023,PADD 1,LRC,avg,2032,0.083064
2023,PADD 1,LRC,avg,2033,0.083066
2023,PADD 1,LRC,avg,2034,0.083068
2023,PADD 1,LRC,avg,2035,0.08307
2023,PADD 1,LRC,avg,2036,0.083062
2023,PADD 1,LRC,avg,2037,0.083054
2023,PADD 1,LRC,avg,2038,0.083046
2023,PADD 1,LRC,avg,2039,0.083038
2023,PADD 1,LRC,avg,2040,0.08303
2023,PADD 1,LRC,avg,2041,0.083022
2023,PADD 1,LRC,avg,2042,0.083014
2023,PADD 1,LRC,avg,2043,0.083006
2023,PADD 1,LRC,avg,2044,0.082998
2023,PADD 1,LRC,avg,2045,0.08299
2023,PADD 1,LRC,avg,2046,0.08299
2023,PADD 1,LRC,avg,2047,0.08299
2023,PADD 1,LRC,avg,2048,0.08299
2023,PADD 1,LRC,avg,2049,0.08299
2023,PADD 1,LRC,avg,2050,0.08299
2023,PADD 1,LRC,avg,2051,0.082992
2023,PADD 1,LRC,avg,2052,0.082994
2023,PADD 2,LRC,avg,2021,0.07695
2023,PADD 2,LRC,avg,2022,0.076975
2023,PADD 2,LRC,avg,2023,0.077
2023,PADD 2,LRC,avg,2024,0.077025
2023,PADD 2,LRC,avg,2025,0.07705
2023,PADD 2,LRC,avg,2026,0.077056
2023,PADD 2,LRC,avg,2027,0.077062
2023,PADD 2,LRC,avg,2028,0.077068
2023,PADD 2,LRC,avg,2029,0.077074
2023,PADD 2,LRC,avg,2030,0.07708
2023,PADD 2,LRC,avg,2031,0.077064
2023,PADD 2,LRC,avg,2032,0.077048
2023,PADD 2,LRC,avg,2033,0.077032
2023,PADD 2,LRC,avg,2034,0.077016
2023,PADD 2,LRC,avg,2035,0.077
2023,PADD 2,LRC,avg,2036,0.076998
2023,PADD 2,LRC,avg,2037,0.076996
2023,PADD 2,LRC,avg,2038,0.076994
2023,PADD 2,LRC,avg,2039,0.076992
2023,PADD 2,LRC,avg,2040,0.07699
2023,PADD 2,LRC,avg,2041,0.076998
2023,PADD 2,LRC,avg,2042,0.077006
2023,PADD 2,LRC,avg,2043,0.077014
2023,PADD 2,LRC,avg,2044,0.077022
2023,PADD 2,LRC,avg,2045,0.07703
2023,PADD 2,LRC,avg,2046,0.077036
2023,PADD 2,LRC,avg,2047,0.077042
2023,PADD 2,LRC,avg,2048,0.077048
2023,PADD 2,LRC,avg,2049,0.077054
2023,PADD 2,LRC,avg,2050,0.07706
2023,PADD 2,LRC,avg,2051,0.077064
2023,PADD 2,LRC,avg,2052,0.077068
2023,PADD 3,LRC,avg,2021,0.08217
2023,PADD 3,LRC,avg,2022,0.082155
2023,PADD 3,LRC,avg,2023,0.08214
2023,PADD 3,LRC,avg,2024,0.082125
2023,PADD 3,LRC,avg,2025,0.08211
2023,PADD 3,LRC,avg,2026,0.082102
2023,PADD 3,LRC,avg,2027,0.082094
2023,PADD 3,LRC,avg,2028,0.082086
2023,PADD 3,LRC,avg,2029,0.082078
2023,PADD 3,LRC,avg,2030,0.08207
2023,PADD 3,LRC,avg,2031,0.082106
2023,PADD 3,LRC,avg,2032,0.082142
2023,PADD 3,LRC,avg,2033,0.082178
2023,PADD 3,LRC,avg,2034,0.082214
2023,PADD 3,LRC,avg,2035,0.08225
2023,PADD 3,LRC,avg,2036,0.082264
2023,PADD 3,LRC,avg,2037,0.082278
2023,PADD 3,LRC,avg,2038,0.082292
2023,PADD 3,LRC,avg,2039,0.082306
2023,PADD 3,LRC,avg,2040,0.08232
2023,PADD 3,LRC,avg,2041,0.082312
