Release Year,Case,Region,Division,Sector,Year,Natural Gas,Distillate Oil,Electricity,Propane,Residual Fuel Oil,Coal
2023,ref,Midwest,East North Central,Commercial,2023,0,0,0,0,0,
2023,ref,Midwest,East North Central,Commercial,2024,-0.12014056728714,-0.0761988429770667,-0.0321016444553025,-0.0700795066621193,0.223460101101931,
2023,ref,Midwest,East North Central,Commercial,2025,-0.185129276805762,-0.168851355917963,-0.0717764303370592,-0.144711292377142,0.266651463368783,
2023,ref,Midwest,East North Central,Commercial,2026,-0.236355350036682,-0.221487829126384,-0.0916738665015369,-0.184600027672026,0.397705175182054,
2023,ref,Midwest,East North Central,Commercial,2027,-0.266080387380492,-0.272753496843243,-0.118231601944816,-0.206508222385746,0.584849168903503,
2023,ref,Midwest,East North Central,Commercial,2028,-0.280061105165038,-0.318738596612464,-0.132471436074507,-0.211240365557422,0.762544004815747,
2023,ref,Midwest,East North Central,Commercial,2029,-0.276045229678986,-0.315367864160573,-0.139519130586851,-0.207282626093878,0.766416736776469,
2023,ref,Midwest,East North Central,Commercial,2030,-0.269584406537787,-0.316247239697627,-0.145140686436813,-0.19624418453184,0.777972142011129,
2023,ref,Midwest,East North Central,Commercial,2031,-0.259770315720606,-0.310029237269092,-0.149003703412801,-0.181723214064095,0.792626631657992,
2023,ref,Midwest,East North Central,Commercial,2032,-0.253387832534583,-0.307064882906294,-0.150345252151886,-0.163344599608178,0.805963288144612,
2023,ref,Midwest,East North Central,Commercial,2033,-0.240377365681383,-0.30290962983868,-0.150510960455802,-0.142884671426682,0.818132731981267,
2023,ref,Midwest,East North Central,Commercial,2034,-0.228830691477142,-0.3009610308507,-0.143719176498003,-0.125887512202679,0.831511377305791,
2023,ref,Midwest,East North Central,Commercial,2035,-0.218737011711823,-0.295625579597052,-0.148739403296779,-0.115749605985418,0.846227245131606,
2023,ref,Midwest,East North Central,Commercial,2036,-0.21482318989711,-0.294340240184535,-0.148819248778415,-0.10958968508028,0.857893593350817,
2023,ref,Midwest,East North Central,Commercial,2037,-0.207420699321724,-0.290033730106269,-0.147053014651501,-0.102628919388765,0.869442578273871,
2023,ref,Midwest,East North Central,Commercial,2038,-0.196308176679889,-0.28702612493691,-0.14441481579199,-0.0896324208272932,0.882916115803931,
2023,ref,Midwest,East North Central,Commercial,2039,-0.1964218754797,-0.285326882554351,-0.137090352539498,-0.0889101704250992,0.892859637606795,
2023,ref,Midwest,East North Central,Commercial,2040,-0.188332851648474,-0.283400478513393,-0.131410127618248,-0.0780500542973414,0.903783027366963,
2023,ref,Midwest,East North Central,Commercial,2041,-0.180175015694457,-0.277717571059556,-0.126654605948807,-0.0691376697862416,0.920015629606574,
2023,ref,Midwest,East North Central,Commercial,2042,-0.180136904364912,-0.277577946548354,-0.126040027176393,-0.0651332029041779,0.921830394885117,
2023,ref,Midwest,East North Central,Commercial,2043,-0.183389600476815,-0.273397530002701,-0.128566181995914,-0.0650436757617633,0.930435024905673,
2023,ref,Midwest,East North Central,Commercial,2044,-0.18738779654055,-0.276381283370517,-0.129921848341897,-0.0669319250752974,0.926490128642499,
2023,ref,Midwest,East North Central,Commercial,2045,-0.187403464531585,-0.274110598767204,-0.129844548658227,-0.0650911725225287,0.933281919477993,
2023,ref,Midwest,East North Central,Commercial,2046,-0.188747100627672,-0.266272710384108,-0.134523985683936,-0.0652593345408228,0.953528500533656,
2023,ref,Midwest,East North Central,Commercial,2047,-0.191264883268174,-0.265573276151602,-0.145023058999012,-0.0639931186790184,0.95364509339242,
2023,ref,Midwest,East North Central,Commercial,2048,-0.194650757303877,-0.264052594361489,-0.144404285445861,-0.0605949744701875,0.969262372967715,
2023,ref,Midwest,East North Central,Commercial,2049,-0.19634395898374,-0.261456717540615,-0.149435794758347,-0.0609266419616025,0.980987659647468,
2023,ref,Midwest,East North Central,Commercial,2050,-0.196582684117421,-0.261316747851388,-0.158499992695296,-0.0625079237189876,0.989909324655126,
2023,ref,Midwest,East North Central,Commercial,2051,-0.198541579989858,-0.260077757218207,-0.164493994448135,-0.0618200710135288,0.999004530685494,
2023,ref,Midwest,East North Central,Commercial,2052,-0.200500475862295,-0.258838766585027,-0.170487996200975,-0.06113221830807,1.00809973671586,
2023,ref,Midwest,East North Central,Commercial,2053,-0.202459371734732,-0.257599775951847,-0.176481997953815,-0.0604443656026111,1.01719494274623,
2023,ref,Midwest,East North Central,Commercial,2054,-0.204418267607169,-0.256360785318667,-0.182475999706655,-0.0597565128971523,1.0262901487766,
2023,ref,Midwest,East North Central,Commercial,2055,-0.206377163479607,-0.255121794685487,-0.188470001459494,-0.0590686601916935,1.03538535480696,
2023,ref,Midwest,East North Central,Commercial,2056,-0.208336059352044,-0.253882804052307,-0.194464003212334,-0.0583808074862345,1.04448056083733,
2023,ref,Midwest,East North Central,Commercial,2057,-0.210294955224481,-0.252643813419127,-0.200458004965174,-0.0576929547807759,1.0535757668677,
2023,ref,Midwest,East North Central,Commercial,2058,-0.212253851096918,-0.251404822785947,-0.206452006718014,-0.0570051020753171,1.06267097289807,
2023,ref,Midwest,East North Central,Commercial,2059,-0.214212746969355,-0.250165832152767,-0.212446008470853,-0.0563172493698583,1.07176617892843,
2023,ref,Midwest,East North Central,Commercial,2060,-0.216171642841792,-0.248926841519587,-0.218440010223693,-0.0556293966643995,1.0808613849588,
2023,ref,Midwest,East North Central,Commercial,2061,-0.21813053871423,-0.247687850886407,-0.224434011976533,-0.0549415439589406,1.08995659098917,
2023,ref,Midwest,East North Central,Commercial,2062,-0.220089434586667,-0.246448860253227,-0.230428013729373,-0.0542536912534818,1.09905179701954,
2023,ref,Midwest,East North Central,Commercial,2063,-0.222048330459104,-0.245209869620047,-0.236422015482212,-0.053565838548023,1.1081470030499,
2023,ref,Midwest,East North Central,Commercial,2064,-0.224007226331541,-0.243970878986867,-0.242416017235052,-0.0528779858425641,1.11724220908027,
2023,ref,Midwest,East North Central,Commercial,2065,-0.225966122203978,-0.242731888353686,-0.248410018987892,-0.0521901331371053,1.12633741511064,
2023,ref,Midwest,East North Central,Commercial,2066,-0.227925018076415,-0.241492897720506,-0.254404020740732,-0.0515022804316465,1.13543262114101,
2023,ref,Midwest,East North Central,Industrial,2023,0,0,0,0,,0
2023,ref,Midwest,East North Central,Industrial,2024,-0.16188287908604,-0.0784600550696015,-0.0561928335027866,-0.10543592980676,,-0.00161070060801938
2023,ref,Midwest,East North Central,Industrial,2025,-0.24808567891674,-0.172622262822063,-0.109958617095582,-0.207980266366602,,0.0313432187968494
2023,ref,Midwest,East North Central,Industrial,2026,-0.313624535031227,-0.227496221719541,-0.147238298621518,-0.257883306233186,,0.0275602092842333
2023,ref,Midwest,East North Central,Industrial,2027,-0.349676793571137,-0.281023339846953,-0.178774131107585,-0.284176077347883,,0.0174789730781944
2023,ref,Midwest,East North Central,Industrial,2028,-0.363176696094037,-0.328985293460723,-0.198667337237041,-0.288741142923657,,0.010812796121497
2023,ref,Midwest,East North Central,Industrial,2029,-0.362868344033786,-0.325684502447856,-0.210221935255877,-0.282616862078222,,0.00845350704681525
2023,ref,Midwest,East North Central,Industrial,2030,-0.356675769535898,-0.326581989271064,-0.218616499673768,-0.267414571422144,,0.00778872576353029
2023,ref,Midwest,East North Central,Industrial,2031,-0.346894716020219,-0.32047490688235,-0.222829957688884,-0.247829570015706,,0.00711893608283209
2023,ref,Midwest,East North Central,Industrial,2032,-0.339437192154851,-0.317490983666249,-0.225831228747786,-0.222960470737221,,0.00592126131480453
2023,ref,Midwest,East North Central,Industrial,2033,-0.324367592904388,-0.313148348161256,-0.223484338943928,-0.195183289423006,,0.0052902032407669
2023,ref,Midwest,East North Central,Industrial,2034,-0.311607104503562,-0.311464729361424,-0.224615926451126,-0.172324471603022,,0.00617936072815417
2023,ref,Midwest,East North Central,Industrial,2035,-0.299644005819188,-0.305814632610241,-0.229345412653203,-0.159040376711999,,0.00679305635782668
2023,ref,Midwest,East North Central,Industrial,2036,-0.297123419226329,-0.304814202759504,-0.230822084025365,-0.150973492967788,,0.00997004978347027
2023,ref,Midwest,East North Central,Industrial,2037,-0.290205398819521,-0.300445958692474,-0.227116905786353,-0.141344645822446,,0.0175153674327289
2023,ref,Midwest,East North Central,Industrial,2038,-0.274998670766813,-0.297488899027543,-0.220933673922587,-0.122814461114941,,0.0292921131096471
2023,ref,Midwest,East North Central,Industrial,2039,-0.27901565851714,-0.295845066775089,-0.212475404786569,-0.12271576127457,,0.0381459580563412
2023,ref,Midwest,East North Central,Industrial,2040,-0.265546996729035,-0.294012138187057,-0.205416362854406,-0.106849773579585,,0.0430752227902116
2023,ref,Midwest,East North Central,Industrial,2041,-0.256456693883154,-0.288458811273615,-0.198938172154672,-0.0943855534361821,,0.0472926273051151
2023,ref,Midwest,East North Central,Industrial,2042,-0.259356975560433,-0.288404473636019,-0.198743822839056,-0.0891464969731195,,0.0503100197998645
2023,ref,Midwest,East North Central,Industrial,2043,-0.267199150972954,-0.284311954073367,-0.200205197090815,-0.0893716108610442,,0.053811891271031
2023,ref,Midwest,East North Central,Industrial,2044,-0.274595094543776,-0.287280003372868,-0.199356666221466,-0.0921930568877654,,0.0566690150485649
2023,ref,Midwest,East North Central,Industrial,2045,-0.278253264431492,-0.285335618182377,-0.20056254261626,-0.0893124561667208,,0.0592199587975839
2023,ref,Midwest,East North Central,Industrial,2046,-0.282820419545045,-0.277647351241983,-0.20731688028849,-0.0896099996213169,,0.0604994373900241
2023,ref,Midwest,East North Central,Industrial,2047,-0.288872410736359,-0.276937332660343,-0.214830881746789,-0.0876747561254568,,0.0614166419029238
2023,ref,Midwest,East North Central,Industrial,2048,-0.29580815425233,-0.27545498698254,-0.216646965466691,-0.082648656561958,,0.0622931114501981
2023,ref,Midwest,East North Central,Industrial,2049,-0.302639211267572,-0.272917602467404,-0.222511074635889,-0.083349057458445,,0.0552563130849393
2023,ref,Midwest,East North Central,Industrial,2050,-0.305659349225455,-0.272818831430775,-0.230247982697239,-0.085663123890471,,0.0547825186896698
2023,ref,Midwest,East North Central,Industrial,2051,-0.311369081645558,-0.271611701477974,-0.235980758299427,-0.0846764049577595,,0.0533532890145811
2023,ref,Midwest,East North Central,Industrial,2052,-0.31707881406566,-0.270404571525172,-0.241713533901614,-0.0836896860250482,,0.0519240593394925
2023,ref,Midwest,East North Central,Industrial,2053,-0.322788546485763,-0.26919744157237,-0.247446309503801,-0.0827029670923368,,0.0504948296644041
2023,ref,Midwest,East North Central,Industrial,2054,-0.328498278905865,-0.267990311619568,-0.253179085105989,-0.0817162481596253,,0.0490655999893155
2023,ref,Midwest,East North Central,Industrial,2055,-0.334208011325968,-0.266783181666766,-0.258911860708176,-0.0807295292269138,,0.0476363703142269
2023,ref,Midwest,East North Central,Industrial,2056,-0.33991774374607,-0.265576051713964,-0.264644636310363,-0.0797428102942025,,0.0462071406391382
2023,ref,Midwest,East North Central,Industrial,2057,-0.345627476166173,-0.264368921761162,-0.27037741191255,-0.0787560913614911,,0.0447779109640498
2023,ref,Midwest,East North Central,Industrial,2058,-0.351337208586276,-0.26316179180836,-0.276110187514738,-0.0777693724287796,,0.0433486812889612
2023,ref,Midwest,East North Central,Industrial,2059,-0.357046941006378,-0.261954661855559,-0.281842963116925,-0.0767826534960681,,0.0419194516138726
2023,ref,Midwest,East North Central,Industrial,2060,-0.362756673426481,-0.260747531902757,-0.287575738719112,-0.0757959345633568,,0.0404902219387839
2023,ref,Midwest,East North Central,Industrial,2061,-0.368466405846583,-0.259540401949955,-0.2933085143213,-0.0748092156306454,,0.0390609922636955
