release year,reeds,case,rate,Year,kg CO2 eq / MWh
2024,US,mid-case,avg,2024,357.54
2024,US,mid-case,avg,2025,323.8
2024,US,mid-case,avg,2026,290.06
2024,US,mid-case,avg,2027,256.32
2024,US,mid-case,avg,2028,222.58
2024,US,mid-case,avg,2029,188.84
2024,US,mid-case,avg,2030,155.1
2024,US,mid-case,avg,2031,147.28
2024,US,mid-case,avg,2032,139.46
2024,US,mid-case,avg,2033,131.64
2024,US,mid-case,avg,2034,123.82
2024,US,mid-case,avg,2035,116
2024,US,mid-case,avg,2036,112.7
2024,US,mid-case,avg,2037,109.4
2024,US,mid-case,avg,2038,106.1
2024,US,mid-case,avg,2039,102.8
2024,US,mid-case,avg,2040,99.5
2024,US,mid-case,avg,2041,97.6
2024,US,mid-case,avg,2042,95.7
2024,US,mid-case,avg,2043,93.8
2024,US,mid-case,avg,2044,91.9
2024,US,mid-case,avg,2045,90
2024,US,mid-case,avg,2046,91.38
2024,US,mid-case,avg,2047,92.76
2024,US,mid-case,avg,2048,94.14
2024,US,mid-case,avg,2049,95.52
2024,US,mid-case,avg,2050,96.9
2024,US,mid-case,avg,2051,98.28
2024,US,mid-case,avg,2052,99.66
2024,US,mid-case,avg,2053,101.04
2024,p1,mid-case,avg,2024,24.72
2024,p1,mid-case,avg,2025,20.6
2024,p1,mid-case,avg,2026,16.48
2024,p1,mid-case,avg,2027,12.36
2024,p1,mid-case,avg,2028,8.24
2024,p1,mid-case,avg,2029,4.12
2024,p1,mid-case,avg,2030,0
2024,p1,mid-case,avg,2031,0
2024,p1,mid-case,avg,2032,0
2024,p1,mid-case,avg,2033,0
2024,p1,mid-case,avg,2034,0
2024,p1,mid-case,avg,2035,0
2024,p1,mid-case,avg,2036,0
2024,p1,mid-case,avg,2037,0
2024,p1,mid-case,avg,2038,0
2024,p1,mid-case,avg,2039,0
2024,p1,mid-case,avg,2040,0
2024,p1,mid-case,avg,2041,0
2024,p1,mid-case,avg,2042,0
2024,p1,mid-case,avg,2043,0
2024,p1,mid-case,avg,2044,0
2024,p1,mid-case,avg,2045,0
2024,p1,mid-case,avg,2046,0
2024,p1,mid-case,avg,2047,0
2024,p1,mid-case,avg,2048,0
2024,p1,mid-case,avg,2049,0
2024,p1,mid-case,avg,2050,0
2024,p1,mid-case,avg,2051,0
2024,p1,mid-case,avg,2052,0
2024,p1,mid-case,avg,2053,0
2024,p2,mid-case,avg,2024,34.08
2024,p2,mid-case,avg,2025,28.4
2024,p2,mid-case,avg,2026,22.72
2024,p2,mid-case,avg,2027,17.04
2024,p2,mid-case,avg,2028,11.36
2024,p2,mid-case,avg,2029,5.68
2024,p2,mid-case,avg,2030,0
2024,p2,mid-case,avg,2031,0
2024,p2,mid-case,avg,2032,0
2024,p2,mid-case,avg,2033,0
2024,p2,mid-case,avg,2034,0
2024,p2,mid-case,avg,2035,0
2024,p2,mid-case,avg,2036,0
2024,p2,mid-case,avg,2037,0
2024,p2,mid-case,avg,2038,0
2024,p2,mid-case,avg,2039,0
2024,p2,mid-case,avg,2040,0
2024,p2,mid-case,avg,2041,0
2024,p2,mid-case,avg,2042,0
2024,p2,mid-case,avg,2043,0
2024,p2,mid-case,avg,2044,0
2024,p2,mid-case,avg,2045,0
2024,p2,mid-case,avg,2046,0
2024,p2,mid-case,avg,2047,0
2024,p2,mid-case,avg,2048,0
2024,p2,mid-case,avg,2049,0
2024,p2,mid-case,avg,2050,0
2024,p2,mid-case,avg,2051,0
2024,p2,mid-case,avg,2052,0
2024,p2,mid-case,avg,2053,0
2024,p3,mid-case,avg,2024,73.08
2024,p3,mid-case,avg,2025,60.9
2024,p3,mid-case,avg,2026,48.72
2024,p3,mid-case,avg,2027,36.54
2024,p3,mid-case,avg,2028,24.36
2024,p3,mid-case,avg,2029,12.18
2024,p3,mid-case,avg,2030,0
2024,p3,mid-case,avg,2031,0
2024,p3,mid-case,avg,2032,0
2024,p3,mid-case,avg,2033,0
2024,p3,mid-case,avg,2034,0
2024,p3,mid-case,avg,2035,0
2024,p3,mid-case,avg,2036,0
2024,p3,mid-case,avg,2037,0
2024,p3,mid-case,avg,2038,0
2024,p3,mid-case,avg,2039,0
2024,p3,mid-case,avg,2040,0
2024,p3,mid-case,avg,2041,0
2024,p3,mid-case,avg,2042,0
2024,p3,mid-case,avg,2043,0
2024,p3,mid-case,avg,2044,0
2024,p3,mid-case,avg,2045,0
2024,p3,mid-case,avg,2046,0
2024,p3,mid-case,avg,2047,0
2024,p3,mid-case,avg,2048,0
2024,p3,mid-case,avg,2049,0
2024,p3,mid-case,avg,2050,0
2024,p3,mid-case,avg,2051,0
2024,p3,mid-case,avg,2052,0
2024,p3,mid-case,avg,2053,0
2024,p4,mid-case,avg,2024,11.16
2024,p4,mid-case,avg,2025,9.3
2024,p4,mid-case,avg,2026,7.44
2024,p4,mid-case,avg,2027,5.58
2024,p4,mid-case,avg,2028,3.72
2024,p4,mid-case,avg,2029,1.86
2024,p4,mid-case,avg,2030,0
2024,p4,mid-case,avg,2031,0
2024,p4,mid-case,avg,2032,0
2024,p4,mid-case,avg,2033,0
2024,p4,mid-case,avg,2034,0
2024,p4,mid-case,avg,2035,0
2024,p4,mid-case,avg,2036,0
2024,p4,mid-case,avg,2037,0
2024,p4,mid-case,avg,2038,0
2024,p4,mid-case,avg,2039,0
2024,p4,mid-case,avg,2040,0
2024,p4,mid-case,avg,2041,0
2024,p4,mid-case,avg,2042,0
2024,p4,mid-case,avg,2043,0
2024,p4,mid-case,avg,2044,0
2024,p4,mid-case,avg,2045,0
2024,p4,mid-case,avg,2046,0
2024,p4,mid-case,avg,2047,0
2024,p4,mid-case,avg,2048,0
2024,p4,mid-case,avg,2049,0
2024,p4,mid-case,avg,2050,0
2024,p4,mid-case,avg,2051,0
2024,p4,mid-case,avg,2052,0
2024,p4,mid-case,avg,2053,0
2024,p5,mid-case,avg,2024,49.6
2024,p5,mid-case,avg,2025,46.8
2024,p5,mid-case,avg,2026,44
2024,p5,mid-case,avg,2027,41.2
2024,p5,mid-case,avg,2028,38.4
2024,p5,mid-case,avg,2029,35.6
2024,p5,mid-case,avg,2030,32.8
2024,p5,mid-case,avg,2031,30.18
2024,p5,mid-case,avg,2032,27.56
2024,p5,mid-case,avg,2033,24.94
2024,p5,mid-case,avg,2034,22.32
2024,p5,mid-case,avg,2035,19.7
2024,p5,mid-case,avg,2036,18.72
2024,p5,mid-case,avg,2037,17.74
2024,p5,mid-case,avg,2038,16.76
2024,p5,mid-case,avg,2039,15.78
2024,p5,mid-case,avg,2040,14.8
2024,p5,mid-case,avg,2041,14.34
2024,p5,mid-case,avg,2042,13.88
2024,p5,mid-case,avg,2043,13.42
2024,p5,mid-case,avg,2044,12.96
2024,p5,mid-case,avg,2045,12.5
2024,p5,mid-case,avg,2046,12.98
2024,p5,mid-case,avg,2047,13.46
2024,p5,mid-case,avg,2048,13.94
2024,p5,mid-case,avg,2049,14.42
2024,p5,mid-case,avg,2050,14.9
2024,p5,mid-case,avg,2051,15.38
2024,p5,mid-case,avg,2052,15.86
2024,p5,mid-case,avg,2053,16.34
2024,p6,mid-case,avg,2024,104.38
2024,p6,mid-case,avg,2025,94.9
2024,p6,mid-case,avg,2026,85.42
2024,p6,mid-case,avg,2027,75.94
2024,p6,mid-case,avg,2028,66.46
2024,p6,mid-case,avg,2029,56.98
2024,p6,mid-case,avg,2030,47.5
2024,p6,mid-case,avg,2031,42.28
2024,p6,mid-case,avg,2032,37.06
2024,p6,mid-case,avg,2033,31.84
2024,p6,mid-case,avg,2034,26.62
2024,p6,mid-case,avg,2035,21.4
2024,p6,mid-case,avg,2036,20.26
2024,p6,mid-case,avg,2037,19.12
2024,p6,mid-case,avg,2038,17.98
2024,p6,mid-case,avg,2039,16.84
2024,p6,mid-case,avg,2040,15.7
2024,p6,mid-case,avg,2041,15.22
2024,p6,mid-case,avg,2042,14.74
2024,p6,mid-case,avg,2043,14.26
2024,p6,mid-case,avg,2044,13.78
2024,p6,mid-case,avg,2045,13.3
2024,p6,mid-case,avg,2046,13.86
2024,p6,mid-case,avg,2047,14.42
2024,p6,mid-case,avg,2048,14.98
2024,p6,mid-case,avg,2049,15.54
2024,p6,mid-case,avg,2050,16.1
2024,p6,mid-case,avg,2051,16.66
2024,p6,mid-case,avg,2052,17.22
2024,p6,mid-case,avg,2053,17.78
2024,p7,mid-case,avg,2024,105.96
2024,p7,mid-case,avg,2025,92
2024,p7,mid-case,avg,2026,78.04
2024,p7,mid-case,avg,2027,64.08
2024,p7,mid-case,avg,2028,50.12
2024,p7,mid-case,avg,2029,36.16
2024,p7,mid-case,avg,2030,22.2
2024,p7,mid-case,avg,2031,20.52
2024,p7,mid-case,avg,2032,18.84
2024,p7,mid-case,avg,2033,17.16
2024,p7,mid-case,avg,2034,15.48
2024,p7,mid-case,avg,2035,13.8
2024,p7,mid-case,avg,2036,12.26
2024,p7,mid-case,avg,2037,10.72
2024,p7,mid-case,avg,2038,9.18
2024,p7,mid-case,avg,2039,7.64
2024,p7,mid-case,avg,2040,6.1
2024,p7,mid-case,avg,2041,5.52
2024,p7,mid-case,avg,2042,4.94
2024,p7,mid-case,avg,2043,4.36
2024,p7,mid-case,avg,2044,3.78
2024,p7,mid-case,avg,2045,3.2
2024,p7,mid-case,avg,2046,3.06
2024,p7,mid-case,avg,2047,2.92
2024,p7,mid-case,avg,2048,2.78
2024,p7,mid-case,avg,2049,2.64
2024,p7,mid-case,avg,2050,2.5
2024,p7,mid-case,avg,2051,2.36
2024,p7,mid-case,avg,2052,2.22
2024,p7,mid-case,avg,2053,2.08
2024,p8,mid-case,avg,2024,48.04
2024,p8,mid-case,avg,2025,44.4
2024,p8,mid-case,avg,2026,40.76
2024,p8,mid-case,avg,2027,37.12
2024,p8,mid-case,avg,2028,33.48
2024,p8,mid-case,avg,2029,29.84
2024,p8,mid-case,avg,2030,26.2
2024,p8,mid-case,avg,2031,21.34
2024,p8,mid-case,avg,2032,16.48
2024,p8,mid-case,avg,2033,11.62
2024,p8,mid-case,avg,2034,6.76
2024,p8,mid-case,avg,2035,1.9
2024,p8,mid-case,avg,2036,2.12
2024,p8,mid-case,avg,2037,2.34
2024,p8,mid-case,avg,2038,2.56
2024,p8,mid-case,avg,2039,2.78
2024,p8,mid-case,avg,2040,3
2024,p8,mid-case,avg,2041,2.6
2024,p8,mid-case,avg,2042,2.2
