release year,reeds,case,rate,Year,kg CO2 eq / MWh
2024,p8,mid-case,avg,2043,1.8
2024,p8,mid-case,avg,2044,1.4
2024,p8,mid-case,avg,2045,1
2024,p8,mid-case,avg,2046,0.98
2024,p8,mid-case,avg,2047,0.96
2024,p8,mid-case,avg,2048,0.94
2024,p8,mid-case,avg,2049,0.92
2024,p8,mid-case,avg,2050,0.9
2024,p8,mid-case,avg,2051,0.88
2024,p8,mid-case,avg,2052,0.86
2024,p8,mid-case,avg,2053,0.84
2024,p9,mid-case,avg,2024,135.38
2024,p9,mid-case,avg,2025,127.4
2024,p9,mid-case,avg,2026,119.42
2024,p9,mid-case,avg,2027,111.44
2024,p9,mid-case,avg,2028,103.46
2024,p9,mid-case,avg,2029,95.48
2024,p9,mid-case,avg,2030,87.5
2024,p9,mid-case,avg,2031,84.24
2024,p9,mid-case,avg,2032,80.98
2024,p9,mid-case,avg,2033,77.72
2024,p9,mid-case,avg,2034,74.46
2024,p9,mid-case,avg,2035,71.2
2024,p9,mid-case,avg,2036,71.54
2024,p9,mid-case,avg,2037,71.88
2024,p9,mid-case,avg,2038,72.22
2024,p9,mid-case,avg,2039,72.56
2024,p9,mid-case,avg,2040,72.9
2024,p9,mid-case,avg,2041,66.06
2024,p9,mid-case,avg,2042,59.22
2024,p9,mid-case,avg,2043,52.38
2024,p9,mid-case,avg,2044,45.54
2024,p9,mid-case,avg,2045,38.7
2024,p9,mid-case,avg,2046,37.82
2024,p9,mid-case,avg,2047,36.94
2024,p9,mid-case,avg,2048,36.06
2024,p9,mid-case,avg,2049,35.18
2024,p9,mid-case,avg,2050,34.3
2024,p9,mid-case,avg,2051,33.42
2024,p9,mid-case,avg,2052,32.54
2024,p9,mid-case,avg,2053,31.66
2024,p10,mid-case,avg,2024,192.18
2024,p10,mid-case,avg,2025,177.7
2024,p10,mid-case,avg,2026,163.22
2024,p10,mid-case,avg,2027,148.74
2024,p10,mid-case,avg,2028,134.26
2024,p10,mid-case,avg,2029,119.78
2024,p10,mid-case,avg,2030,105.3
2024,p10,mid-case,avg,2031,99.64
2024,p10,mid-case,avg,2032,93.98
2024,p10,mid-case,avg,2033,88.32
2024,p10,mid-case,avg,2034,82.66
2024,p10,mid-case,avg,2035,77
2024,p10,mid-case,avg,2036,73.46
2024,p10,mid-case,avg,2037,69.92
2024,p10,mid-case,avg,2038,66.38
2024,p10,mid-case,avg,2039,62.84
2024,p10,mid-case,avg,2040,59.3
2024,p10,mid-case,avg,2041,53.38
2024,p10,mid-case,avg,2042,47.46
2024,p10,mid-case,avg,2043,41.54
2024,p10,mid-case,avg,2044,35.62
2024,p10,mid-case,avg,2045,29.7
2024,p10,mid-case,avg,2046,30.02
2024,p10,mid-case,avg,2047,30.34
2024,p10,mid-case,avg,2048,30.66
2024,p10,mid-case,avg,2049,30.98
2024,p10,mid-case,avg,2050,31.3
2024,p10,mid-case,avg,2051,31.62
2024,p10,mid-case,avg,2052,31.94
2024,p10,mid-case,avg,2053,32.26
2024,p11,mid-case,avg,2024,234.82
2024,p11,mid-case,avg,2025,223.5
2024,p11,mid-case,avg,2026,212.18
2024,p11,mid-case,avg,2027,200.86
2024,p11,mid-case,avg,2028,189.54
2024,p11,mid-case,avg,2029,178.22
2024,p11,mid-case,avg,2030,166.9
2024,p11,mid-case,avg,2031,144.44
2024,p11,mid-case,avg,2032,121.98
2024,p11,mid-case,avg,2033,99.52
2024,p11,mid-case,avg,2034,77.06
2024,p11,mid-case,avg,2035,54.6
2024,p11,mid-case,avg,2036,49.52
2024,p11,mid-case,avg,2037,44.44
2024,p11,mid-case,avg,2038,39.36
2024,p11,mid-case,avg,2039,34.28
2024,p11,mid-case,avg,2040,29.2
2024,p11,mid-case,avg,2041,27.26
2024,p11,mid-case,avg,2042,25.32
2024,p11,mid-case,avg,2043,23.38
2024,p11,mid-case,avg,2044,21.44
2024,p11,mid-case,avg,2045,19.5
2024,p11,mid-case,avg,2046,19.14
2024,p11,mid-case,avg,2047,18.78
2024,p11,mid-case,avg,2048,18.42
2024,p11,mid-case,avg,2049,18.06
2024,p11,mid-case,avg,2050,17.7
2024,p11,mid-case,avg,2051,17.34
2024,p11,mid-case,avg,2052,16.98
2024,p11,mid-case,avg,2053,16.62
2024,p12,mid-case,avg,2024,188.02
2024,p12,mid-case,avg,2025,170
2024,p12,mid-case,avg,2026,151.98
2024,p12,mid-case,avg,2027,133.96
2024,p12,mid-case,avg,2028,115.94
2024,p12,mid-case,avg,2029,97.92
2024,p12,mid-case,avg,2030,79.9
2024,p12,mid-case,avg,2031,78.4
2024,p12,mid-case,avg,2032,76.9
2024,p12,mid-case,avg,2033,75.4
2024,p12,mid-case,avg,2034,73.9
2024,p12,mid-case,avg,2035,72.4
2024,p12,mid-case,avg,2036,72.62
2024,p12,mid-case,avg,2037,72.84
2024,p12,mid-case,avg,2038,73.06
2024,p12,mid-case,avg,2039,73.28
2024,p12,mid-case,avg,2040,73.5
2024,p12,mid-case,avg,2041,72.04
2024,p12,mid-case,avg,2042,70.58
2024,p12,mid-case,avg,2043,69.12
2024,p12,mid-case,avg,2044,67.66
2024,p12,mid-case,avg,2045,66.2
2024,p12,mid-case,avg,2046,68.38
2024,p12,mid-case,avg,2047,70.56
2024,p12,mid-case,avg,2048,72.74
2024,p12,mid-case,avg,2049,74.92
2024,p12,mid-case,avg,2050,77.1
2024,p12,mid-case,avg,2051,79.28
2024,p12,mid-case,avg,2052,81.46
2024,p12,mid-case,avg,2053,83.64
2024,p13,mid-case,avg,2024,242.94
2024,p13,mid-case,avg,2025,224.9
2024,p13,mid-case,avg,2026,206.86
2024,p13,mid-case,avg,2027,188.82
2024,p13,mid-case,avg,2028,170.78
2024,p13,mid-case,avg,2029,152.74
2024,p13,mid-case,avg,2030,134.7
2024,p13,mid-case,avg,2031,118.72
2024,p13,mid-case,avg,2032,102.74
2024,p13,mid-case,avg,2033,86.76
2024,p13,mid-case,avg,2034,70.78
2024,p13,mid-case,avg,2035,54.8
2024,p13,mid-case,avg,2036,58.9
2024,p13,mid-case,avg,2037,63
2024,p13,mid-case,avg,2038,67.1
2024,p13,mid-case,avg,2039,71.2
2024,p13,mid-case,avg,2040,75.3
2024,p13,mid-case,avg,2041,75.12
2024,p13,mid-case,avg,2042,74.94
2024,p13,mid-case,avg,2043,74.76
2024,p13,mid-case,avg,2044,74.58
2024,p13,mid-case,avg,2045,74.4
2024,p13,mid-case,avg,2046,73.92
2024,p13,mid-case,avg,2047,73.44
2024,p13,mid-case,avg,2048,72.96
2024,p13,mid-case,avg,2049,72.48
2024,p13,mid-case,avg,2050,72
2024,p13,mid-case,avg,2051,71.52
2024,p13,mid-case,avg,2052,71.04
2024,p13,mid-case,avg,2053,70.56
2024,p14,mid-case,avg,2024,150.72
2024,p14,mid-case,avg,2025,130.7
2024,p14,mid-case,avg,2026,110.68
2024,p14,mid-case,avg,2027,90.66
2024,p14,mid-case,avg,2028,70.64
2024,p14,mid-case,avg,2029,50.62
2024,p14,mid-case,avg,2030,30.6
2024,p14,mid-case,avg,2031,32.3
2024,p14,mid-case,avg,2032,34
2024,p14,mid-case,avg,2033,35.7
2024,p14,mid-case,avg,2034,37.4
2024,p14,mid-case,avg,2035,39.1
2024,p14,mid-case,avg,2036,36.5
2024,p14,mid-case,avg,2037,33.9
2024,p14,mid-case,avg,2038,31.3
2024,p14,mid-case,avg,2039,28.7
2024,p14,mid-case,avg,2040,26.1
2024,p14,mid-case,avg,2041,24.54
2024,p14,mid-case,avg,2042,22.98
2024,p14,mid-case,avg,2043,21.42
2024,p14,mid-case,avg,2044,19.86
2024,p14,mid-case,avg,2045,18.3
2024,p14,mid-case,avg,2046,18.04
2024,p14,mid-case,avg,2047,17.78
2024,p14,mid-case,avg,2048,17.52
2024,p14,mid-case,avg,2049,17.26
2024,p14,mid-case,avg,2050,17
2024,p14,mid-case,avg,2051,16.74
2024,p14,mid-case,avg,2052,16.48
2024,p14,mid-case,avg,2053,16.22
2024,p15,mid-case,avg,2024,197.98
2024,p15,mid-case,avg,2025,173.1
2024,p15,mid-case,avg,2026,148.22
2024,p15,mid-case,avg,2027,123.34
2024,p15,mid-case,avg,2028,98.46
2024,p15,mid-case,avg,2029,73.58
2024,p15,mid-case,avg,2030,48.7
2024,p15,mid-case,avg,2031,44.14
2024,p15,mid-case,avg,2032,39.58
2024,p15,mid-case,avg,2033,35.02
2024,p15,mid-case,avg,2034,30.46
2024,p15,mid-case,avg,2035,25.9
2024,p15,mid-case,avg,2036,23.88
2024,p15,mid-case,avg,2037,21.86
2024,p15,mid-case,avg,2038,19.84
2024,p15,mid-case,avg,2039,17.82
2024,p15,mid-case,avg,2040,15.8
2024,p15,mid-case,avg,2041,14.72
2024,p15,mid-case,avg,2042,13.64
2024,p15,mid-case,avg,2043,12.56
2024,p15,mid-case,avg,2044,11.48
2024,p15,mid-case,avg,2045,10.4
2024,p15,mid-case,avg,2046,9.98
2024,p15,mid-case,avg,2047,9.56
2024,p15,mid-case,avg,2048,9.14
2024,p15,mid-case,avg,2049,8.72
2024,p15,mid-case,avg,2050,8.3
2024,p15,mid-case,avg,2051,7.88
2024,p15,mid-case,avg,2052,7.46
2024,p15,mid-case,avg,2053,7.04
2024,p16,mid-case,avg,2024,309.18
2024,p16,mid-case,avg,2025,270.3
2024,p16,mid-case,avg,2026,231.42
2024,p16,mid-case,avg,2027,192.54
2024,p16,mid-case,avg,2028,153.66
2024,p16,mid-case,avg,2029,114.78
2024,p16,mid-case,avg,2030,75.9
2024,p16,mid-case,avg,2031,71.74
2024,p16,mid-case,avg,2032,67.58
2024,p16,mid-case,avg,2033,63.42
2024,p16,mid-case,avg,2034,59.26
2024,p16,mid-case,avg,2035,55.1
2024,p16,mid-case,avg,2036,46.18
2024,p16,mid-case,avg,2037,37.26
2024,p16,mid-case,avg,2038,28.34
2024,p16,mid-case,avg,2039,19.42
2024,p16,mid-case,avg,2040,10.5
2024,p16,mid-case,avg,2041,9.9
2024,p16,mid-case,avg,2042,9.3
2024,p16,mid-case,avg,2043,8.7
2024,p16,mid-case,avg,2044,8.1
2024,p16,mid-case,avg,2045,7.5
2024,p16,mid-case,avg,2046,7.18
2024,p16,mid-case,avg,2047,6.86
2024,p16,mid-case,avg,2048,6.54
2024,p16,mid-case,avg,2049,6.22
2024,p16,mid-case,avg,2050,5.9
2024,p16,mid-case,avg,2051,5.58
2024,p16,mid-case,avg,2052,5.26
2024,p16,mid-case,avg,2053,4.94
2024,p17,mid-case,avg,2024,287.26
2024,p17,mid-case,avg,2025,246.5
2024,p17,mid-case,avg,2026,205.74
2024,p17,mid-case,avg,2027,164.98
2024,p17,mid-case,avg,2028,124.22
2024,p17,mid-case,avg,2029,83.46
2024,p17,mid-case,avg,2030,42.7
2024,p17,mid-case,avg,2031,47.98
2024,p17,mid-case,avg,2032,53.26
2024,p17,mid-case,avg,2033,58.54
2024,p17,mid-case,avg,2034,63.82
2024,p17,mid-case,avg,2035,69.1
2024,p17,mid-case,avg,2036,65.12
2024,p17,mid-case,avg,2037,61.14
2024,p17,mid-case,avg,2038,57.16
2024,p17,mid-case,avg,2039,53.18
2024,p17,mid-case,avg,2040,49.2
2024,p17,mid-case,avg,2041,46.64
2024,p17,mid-case,avg,2042,44.08
2024,p17,mid-case,avg,2043,41.52
2024,p17,mid-case,avg,2044,38.96
2024,p17,mid-case,avg,2045,36.4
2024,p17,mid-case,avg,2046,35.52
2024,p17,mid-case,avg,2047,34.64
2024,p17,mid-case,avg,2048,33.76
2024,p17,mid-case,avg,2049,32.88
2024,p17,mid-case,avg,2050,32
2024,p17,mid-case,avg,2051,31.12
2024,p17,mid-case,avg,2052,30.24
2024,p17,mid-case,avg,2053,29.36
2024,p18,mid-case,avg,2024,64.74
2024,p18,mid-case,avg,2025,55.7
2024,p18,mid-case,avg,2026,46.66
2024,p18,mid-case,avg,2027,37.62
2024,p18,mid-case,avg,2028,28.58
2024,p18,mid-case,avg,2029,19.54
2024,p18,mid-case,avg,2030,10.5
2024,p18,mid-case,avg,2031,10.32
2024,p18,mid-case,avg,2032,10.14
2024,p18,mid-case,avg,2033,9.96
2024,p18,mid-case,avg,2034,9.78
2024,p18,mid-case,avg,2035,9.6
2024,p18,mid-case,avg,2036,9.02
2024,p18,mid-case,avg,2037,8.44
2024,p18,mid-case,avg,2038,7.86
2024,p18,mid-case,avg,2039,7.28
2024,p18,mid-case,avg,2040,6.7
2024,p18,mid-case,avg,2041,6.54
2024,p18,mid-case,avg,2042,6.38
2024,p18,mid-case,avg,2043,6.22
2024,p18,mid-case,avg,2044,6.06
2024,p18,mid-case,avg,2045,5.9
2024,p18,mid-case,avg,2046,5.68
2024,p18,mid-case,avg,2047,5.46
2024,p18,mid-case,avg,2048,5.24
2024,p18,mid-case,avg,2049,5.02
2024,p18,mid-case,avg,2050,4.8
2024,p18,mid-case,avg,2051,4.58
2024,p18,mid-case,avg,2052,4.36
2024,p18,mid-case,avg,2053,4.14
2024,p19,mid-case,avg,2024,0
2024,p19,mid-case,avg,2025,0
2024,p19,mid-case,avg,2026,0
2024,p19,mid-case,avg,2027,0
2024,p19,mid-case,avg,2028,0
2024,p19,mid-case,avg,2029,0
2024,p19,mid-case,avg,2030,0
2024,p19,mid-case,avg,2031,0
2024,p19,mid-case,avg,2032,0
2024,p19,mid-case,avg,2033,0
2024,p19,mid-case,avg,2034,0
2024,p19,mid-case,avg,2035,0
2024,p19,mid-case,avg,2036,0
2024,p19,mid-case,avg,2037,0
2024,p19,mid-case,avg,2038,0
2024,p19,mid-case,avg,2039,0
2024,p19,mid-case,avg,2040,0
2024,p19,mid-case,avg,2041,0
2024,p19,mid-case,avg,2042,0
2024,p19,mid-case,avg,2043,0
2024,p19,mid-case,avg,2044,0
2024,p19,mid-case,avg,2045,0
2024,p19,mid-case,avg,2046,0
2024,p19,mid-case,avg,2047,0
2024,p19,mid-case,avg,2048,0
2024,p19,mid-case,avg,2049,0
2024,p19,mid-case,avg,2050,0
2024,p19,mid-case,avg,2051,0
2024,p19,mid-case,avg,2052,0
2024,p19,mid-case,avg,2053,0
2024,p20,mid-case,avg,2024,557.92
2024,p20,mid-case,avg,2025,479.2
2024,p20,mid-case,avg,2026,400.48
2024,p20,mid-case,avg,2027,321.76
2024,p20,mid-case,avg,2028,243.04
2024,p20,mid-case,avg,2029,164.32
2024,p20,mid-case,avg,2030,85.6
2024,p20,mid-case,avg,2031,93.26
2024,p20,mid-case,avg,2032,100.92
2024,p20,mid-case,avg,2033,108.58
2024,p20,mid-case,avg,2034,116.24
2024,p20,mid-case,avg,2035,123.9
2024,p20,mid-case,avg,2036,118.84
2024,p20,mid-case,avg,2037,113.78
2024,p20,mid-case,avg,2038,108.72
2024,p20,mid-case,avg,2039,103.66
2024,p20,mid-case,avg,2040,98.6
2024,p20,mid-case,avg,2041,94.52
2024,p20,mid-case,avg,2042,90.44
2024,p20,mid-case,avg,2043,86.36
2024,p20,mid-case,avg,2044,82.28
2024,p20,mid-case,avg,2045,78.2
2024,p20,mid-case,avg,2046,76.62
2024,p20,mid-case,avg,2047,75.04
2024,p20,mid-case,avg,2048,73.46
2024,p20,mid-case,avg,2049,71.88
2024,p20,mid-case,avg,2050,70.3
2024,p20,mid-case,avg,2051,68.72
2024,p20,mid-case,avg,2052,67.14
2024,p20,mid-case,avg,2053,65.56
2024,p21,mid-case,avg,2024,626.42
2024,p21,mid-case,avg,2025,553.1
2024,p21,mid-case,avg,2026,479.78
2024,p21,mid-case,avg,2027,406.46
2024,p21,mid-case,avg,2028,333.14
2024,p21,mid-case,avg,2029,259.82
2024,p21,mid-case,avg,2030,186.5
2024,p21,mid-case,avg,2031,180.88
2024,p21,mid-case,avg,2032,175.26
2024,p21,mid-case,avg,2033,169.64
2024,p21,mid-case,avg,2034,164.02
2024,p21,mid-case,avg,2035,158.4
2024,p21,mid-case,avg,2036,131.4
2024,p21,mid-case,avg,2037,104.4
2024,p21,mid-case,avg,2038,77.4
2024,p21,mid-case,avg,2039,50.4
2024,p21,mid-case,avg,2040,23.4
2024,p21,mid-case,avg,2041,22.46
2024,p21,mid-case,avg,2042,21.52
2024,p21,mid-case,avg,2043,20.58
2024,p21,mid-case,avg,2044,19.64
2024,p21,mid-case,avg,2045,18.7
2024,p21,mid-case,avg,2046,18.06
2024,p21,mid-case,avg,2047,17.42
2024,p21,mid-case,avg,2048,16.78
2024,p21,mid-case,avg,2049,16.14
2024,p21,mid-case,avg,2050,15.5
2024,p21,mid-case,avg,2051,14.86
2024,p21,mid-case,avg,2052,14.22
2024,p21,mid-case,avg,2053,13.58
2024,p22,mid-case,avg,2024,447.46
2024,p22,mid-case,avg,2025,382.3
2024,p22,mid-case,avg,2026,317.14
2024,p22,mid-case,avg,2027,251.98
2024,p22,mid-case,avg,2028,186.82
2024,p22,mid-case,avg,2029,121.66
2024,p22,mid-case,avg,2030,56.5
2024,p22,mid-case,avg,2031,58.98
2024,p22,mid-case,avg,2032,61.46
2024,p22,mid-case,avg,2033,63.94
2024,p22,mid-case,avg,2034,66.42
2024,p22,mid-case,avg,2035,68.9
2024,p22,mid-case,avg,2036,63.86
2024,p22,mid-case,avg,2037,58.82
2024,p22,mid-case,avg,2038,53.78
2024,p22,mid-case,avg,2039,48.74
2024,p22,mid-case,avg,2040,43.7
2024,p22,mid-case,avg,2041,42.3
