Release Year,Case,Region,Division,Sector,Year,Natural Gas,Distillate Oil,Electricity,Propane,Residual Fuel Oil,Coal
2023,ref,Midwest,East North Central,Commercial,2023,9.44601,28.970558,34.566765,24.696421,7.787784,
2023,ref,Midwest,East North Central,Commercial,2024,8.311161,26.763035,33.457115,22.965708,9.528043,
2023,ref,Midwest,East North Central,Commercial,2025,7.697277,24.07884,32.085686,21.12257,9.864408,
2023,ref,Midwest,East North Central,Commercial,2026,7.213395,22.553932,31.397896,20.137461,10.885026,
2023,ref,Midwest,East North Central,Commercial,2027,6.932612,21.068737,30.479881,19.596407,12.342463,
2023,ref,Midwest,East North Central,Commercial,2028,6.80055,19.736523,29.987656,19.47954,13.726312,
2023,ref,Midwest,East North Central,Commercial,2029,6.838484,19.834175,29.74404,19.577282,13.756472,
2023,ref,Midwest,East North Central,Commercial,2030,6.899513,19.808699,29.549721,19.849892,13.846463,
2023,ref,Midwest,East North Central,Commercial,2031,6.992217,19.988838,29.416189,20.208508,13.960589,
2023,ref,Midwest,East North Central,Commercial,2032,7.052506,20.074717,29.369816,20.662394,14.064452,
2023,ref,Midwest,East North Central,Commercial,2033,7.175403,20.195097,29.364088,21.167681,14.159225,
2023,ref,Midwest,East North Central,Commercial,2034,7.284473,20.251549,29.598858,21.58745,14.263415,
2023,ref,Midwest,East North Central,Commercial,2035,7.379818,20.40612,29.425325,21.83782,14.378019,
2023,ref,Midwest,East North Central,Commercial,2036,7.416788,20.443357,29.422565,21.989948,14.468874,
2023,ref,Midwest,East North Central,Commercial,2037,7.486712,20.568119,29.483618,22.161854,14.558815,
2023,ref,Midwest,East North Central,Commercial,2038,7.591681,20.655251,29.574812,22.482821,14.663744,
2023,ref,Midwest,East North Central,Commercial,2039,7.590607,20.704479,29.827995,22.500658,14.741182,
2023,ref,Midwest,East North Central,Commercial,2040,7.667016,20.760288,30.024342,22.768864,14.826251,
2023,ref,Midwest,East North Central,Commercial,2041,7.744075,20.924925,30.188725,22.988968,14.952667,
2023,ref,Midwest,East North Central,Commercial,2042,7.744435,20.92897,30.209969,23.087864,14.9668,
2023,ref,Midwest,East North Central,Commercial,2043,7.71371,21.050079,30.122648,23.090075,15.033811,
2023,ref,Midwest,East North Central,Commercial,2044,7.675943,20.963638,30.075787,23.043442,15.003089,
2023,ref,Midwest,East North Central,Commercial,2045,7.675795,21.029421,30.078459,23.088902,15.055982,
2023,ref,Midwest,East North Central,Commercial,2046,7.663103,21.256489,29.916706,23.084749,15.213658,
2023,ref,Midwest,East North Central,Commercial,2047,7.63932,21.276752,29.553787,23.11602,15.214566,
2023,ref,Midwest,East North Central,Commercial,2048,7.607337,21.320807,29.575176,23.199942,15.33619,
2023,ref,Midwest,East North Central,Commercial,2049,7.591343,21.396011,29.401253,23.191751,15.427504,
2023,ref,Midwest,East North Central,Commercial,2050,7.589088,21.400066,29.087933,23.152699,15.496984,
2023,ref,Midwest,East North Central,Commercial,2051,7.57058425,21.43596025,28.88073975,23.1696865,15.5678155,
2023,ref,Midwest,East North Central,Commercial,2052,7.5520805,21.4718545,28.6735465,23.186674,15.638647,
2023,ref,Midwest,East North Central,Commercial,2053,7.53357675,21.50774875,28.46635325,23.2036615,15.7094785,
2023,ref,Midwest,East North Central,Commercial,2054,7.515073,21.543643,28.25916,23.220649,15.78031,
2023,ref,Midwest,East North Central,Commercial,2055,7.49656925,21.57953725,28.05196675,23.2376365,15.8511415,
2023,ref,Midwest,East North Central,Commercial,2056,7.4780655,21.6154315,27.8447735,23.254624,15.921973,
2023,ref,Midwest,East North Central,Commercial,2057,7.45956175,21.65132575,27.63758025,23.2716115,15.9928045,
2023,ref,Midwest,East North Central,Commercial,2058,7.441058,21.68722,27.430387,23.288599,16.063636,
2023,ref,Midwest,East North Central,Commercial,2059,7.42255425,21.72311425,27.22319375,23.3055865,16.1344675,
2023,ref,Midwest,East North Central,Commercial,2060,7.4040505,21.7590085,27.0160005,23.322574,16.205299,
2023,ref,Midwest,East North Central,Commercial,2061,7.38554675,21.79490275,26.80880725,23.3395615,16.2761305,
2023,ref,Midwest,East North Central,Commercial,2062,7.367043,21.830797,26.601614,23.356549,16.346962,
2023,ref,Midwest,East North Central,Commercial,2063,7.34853925,21.86669125,26.39442075,23.3735365,16.4177935,
2023,ref,Midwest,East North Central,Commercial,2064,7.3300355,21.9025855,26.1872275,23.390524,16.488625,
2023,ref,Midwest,East North Central,Commercial,2065,7.31153175,21.93847975,25.98003425,23.4075115,16.5594565,
2023,ref,Midwest,East North Central,Commercial,2066,7.293028,21.974374,25.772841,23.424499,16.630288,
2023,ref,Midwest,East North Central,Industrial,2023,6.657974,29.482327,25.037392,21.469133,,2.99497
2023,ref,Midwest,East North Central,Industrial,2024,5.580162,27.169142,23.63047,19.205515,,2.990146
2023,ref,Midwest,East North Central,Industrial,2025,5.006226,24.393021,22.284315,17.003977,,3.088842
2023,ref,Midwest,East North Central,Industrial,2026,4.56987,22.775209,21.350929,15.932602,,3.077512
2023,ref,Midwest,East North Central,Industrial,2027,4.329835,21.197105,20.561354,15.368119,,3.047319
2023,ref,Midwest,East North Central,Industrial,2028,4.239953,19.783075,20.06328,15.270111,,3.027354
2023,ref,Midwest,East North Central,Industrial,2029,4.242006,19.88039,19.773983,15.401594,,3.020288
2023,ref,Midwest,East North Central,Industrial,2030,4.283236,19.85393,19.563805,15.727974,,3.018297
2023,ref,Midwest,East North Central,Industrial,2031,4.348358,20.033981,19.458311,16.148447,,3.016291
2023,ref,Midwest,East North Central,Industrial,2032,4.39801,20.121954,19.383167,16.682365,,3.012704
2023,ref,Midwest,East North Central,Industrial,2033,4.498343,20.249985,19.441927,17.278717,,3.010814
2023,ref,Midwest,East North Central,Industrial,2034,4.583302,20.299622,19.413595,17.769476,,3.013477
2023,ref,Midwest,East North Central,Industrial,2035,4.662952,20.4662,19.295181,18.054674,,3.015315
2023,ref,Midwest,East North Central,Industrial,2036,4.679734,20.495695,19.258209,18.227863,,3.02483
2023,ref,Midwest,East North Central,Industrial,2037,4.725794,20.624481,19.350977,18.434586,,3.047428
2023,ref,Midwest,East North Central,Industrial,2038,4.82704,20.711662,19.505789,18.832413,,3.082699
2023,ref,Midwest,East North Central,Industrial,2039,4.800295,20.760126,19.717562,18.834532,,3.109216
2023,ref,Midwest,East North Central,Industrial,2040,4.889969,20.814165,19.894302,19.175161,,3.123979
2023,ref,Midwest,East North Central,Industrial,2041,4.950492,20.97789,20.056499,19.442757,,3.13661
2023,ref,Midwest,East North Central,Industrial,2042,4.931182,20.979492,20.061365,19.555235,,3.145647
2023,ref,Midwest,East North Central,Industrial,2043,4.878969,21.100149,20.024776,19.550402,,3.156135
2023,ref,Midwest,East North Central,Industrial,2044,4.829727,21.012644,20.046021,19.489828,,3.164692
2023,ref,Midwest,East North Central,Industrial,2045,4.805371,21.069969,20.015829,19.551672,,3.172332
2023,ref,Midwest,East North Central,Industrial,2046,4.774963,21.296637,19.846718,19.545284,,3.176164
2023,ref,Midwest,East North Central,Industrial,2047,4.734669,21.31757,19.658587,19.586832,,3.178911
2023,ref,Midwest,East North Central,Industrial,2048,4.688491,21.361273,19.613117,19.694738,,3.181536
2023,ref,Midwest,East North Central,Industrial,2049,4.64301,21.436081,19.466295,19.679701,,3.160461
2023,ref,Midwest,East North Central,Industrial,2050,4.622902,21.438993,19.272583,19.63002,,3.159042
2023,ref,Midwest,East North Central,Industrial,2051,4.58488675,21.474582,19.12904925,19.651204,,3.1547615
2023,ref,Midwest,East North Central,Industrial,2052,4.5468715,21.510171,18.9855155,19.672388,,3.150481
2023,ref,Midwest,East North Central,Industrial,2053,4.50885625,21.54576,18.84198175,19.693572,,3.1462005
2023,ref,Midwest,East North Central,Industrial,2054,4.470841,21.581349,18.698448,19.714756,,3.14192
2023,ref,Midwest,East North Central,Industrial,2055,4.43282575,21.616938,18.55491425,19.73594,,3.1376395
2023,ref,Midwest,East North Central,Industrial,2056,4.3948105,21.652527,18.4113805,19.757124,,3.133359
2023,ref,Midwest,East North Central,Industrial,2057,4.35679525,21.688116,18.26784675,19.778308,,3.1290785
2023,ref,Midwest,East North Central,Industrial,2058,4.31878,21.723705,18.124313,19.799492,,3.124798
2023,ref,Midwest,East North Central,Industrial,2059,4.28076475,21.759294,17.98077925,19.820676,,3.1205175
2023,ref,Midwest,East North Central,Industrial,2060,4.2427495,21.794883,17.8372455,19.84186,,3.116237
2023,ref,Midwest,East North Central,Industrial,2061,4.20473425,21.830472,17.69371175,19.863044,,3.1119565
