Release Year,Rate,Year,Real,Nominal,Inflation
2023,DOE,0,0.0300,0.0320,0.0020
2023,OMB,3,0.0120,0.0400,0.0277
2023,OMB,5,0.0130,0.0380,0.0247
2023,OMB,7,0.0140,0.0380,0.0237
2023,OMB,10,0.0150,0.0390,0.0236
2023,OMB,20,0.0200,0.0420,0.0216
2023,OMB,30,0.0200,0.0420,0.0216
2024,DOE,0,0.0300,0.0420,0.0120
2024,OMB,3,0.022,0.045,0.0225048923679059
2024,OMB,5,0.022,0.044,0.0215264187866928
2024,OMB,7,0.022,0.044,0.0215264187866928
2024,OMB,10,0.023,0.044,0.0205278592375369
2024,OMB,20,0.025,0.047,0.0214634146341464
2024,OMB,30,0.025,0.047,0.0214634146341464
