Release Year,Technobasin,Case,rate,Year,kg CO2 eq / MJ
2023,Strawn,REF,avg,2032,0.0626954521096671
2023,US,REF,avg,2032,0.0598606239703601
2023,Uinta,REF,avg,2032,0.0623705582138224
2023,Anadarko,LRC,avg,2033,0.0641319924388313
2023,Appalachian,LRC,avg,2033,0.0573607759112268
2023,Arkla,LRC,avg,2033,0.0577951516676919
2023,Arkoma,LRC,avg,2033,0.0655357283255592
2023,East Texas,LRC,avg,2033,0.0625006794257335
2023,Fort Worth,LRC,avg,2033,0.0630320173786894
2023,Green River,LRC,avg,2033,0.0592058021999365
2023,Gulf,LRC,avg,2033,0.0611711068361387
2023,Permian,LRC,avg,2033,0.061407609567871
2023,Piceance,LRC,avg,2033,0.0622808738775203
2023,San Juan,LRC,avg,2033,0.0683805732402817
2023,South Oklahoma,LRC,avg,2033,0.0621574190915091
2023,Strawn,LRC,avg,2033,0.0626954521096671
2023,US,LRC,avg,2033,0.0598623450301358
2023,Uinta,LRC,avg,2033,0.0623564898581877
2023,Anadarko,REF,avg,2033,0.0641042539387779
2023,Appalachian,REF,avg,2033,0.0573607759112268
2023,Arkla,REF,avg,2033,0.0577910491473291
2023,Arkoma,REF,avg,2033,0.065525062720852
2023,East Texas,REF,avg,2033,0.0625012510600712
2023,Fort Worth,REF,avg,2033,0.0630320173786894
2023,Green River,REF,avg,2033,0.0592052794859717
2023,Gulf,REF,avg,2033,0.0611707649161421
2023,Permian,REF,avg,2033,0.0614084767276633
2023,Piceance,REF,avg,2033,0.0622808738775203
2023,San Juan,REF,avg,2033,0.0683805732402817
2023,South Oklahoma,REF,avg,2033,0.0621574190915091
2023,Strawn,REF,avg,2033,0.0626954521096671
2023,US,REF,avg,2033,0.0598546046571755
2023,Uinta,REF,avg,2033,0.062358248402642
2023,Anadarko,LRC,avg,2034,0.0641159865616969
2023,Appalachian,LRC,avg,2034,0.0573607759112268
2023,Arkla,LRC,avg,2034,0.057784734189526
2023,Arkoma,LRC,avg,2034,0.0655094745293567
2023,East Texas,LRC,avg,2034,0.0624975676294551
2023,Fort Worth,LRC,avg,2034,0.0630320173786894
