Release Year,BA Name,Case,Rate,Year,kg CO2 eq / MWh
2023,Arizona Public Service Company,lowZTC,Avg,2023,829.673392814485
2023,Arizona Public Service Company,lowZTC,Avg,2024,818.96388678493
2023,Arizona Public Service Company,lowZTC,Avg,2025,783.620888249941
2023,Arizona Public Service Company,lowZTC,Avg,2026,748.766326165538
2023,Arizona Public Service Company,lowZTC,Avg,2027,749.895341235228
2023,Arizona Public Service Company,lowZTC,Avg,2028,760.102006291634
2023,Arizona Public Service Company,lowZTC,Avg,2029,761.225418883765
2023,Arizona Public Service Company,lowZTC,Avg,2030,747.55757482054
2023,Arizona Public Service Company,lowZTC,Avg,2031,732.628913778495
2023,Arizona Public Service Company,lowZTC,Avg,2032,552.697604491802
2023,Arizona Public Service Company,lowZTC,Avg,2033,474.70149970002
2023,Arizona Public Service Company,lowZTC,Avg,2034,474.427337372923
2023,Arizona Public Service Company,lowZTC,Avg,2035,434.411088441805
2023,Arizona Public Service Company,lowZTC,Avg,2036,432.771640598834
2023,Arizona Public Service Company,lowZTC,Avg,2037,383.053164628543
2023,Arizona Public Service Company,lowZTC,Avg,2038,360.340680296374
2023,Arizona Public Service Company,lowZTC,Avg,2039,304.203602956071
2023,Arizona Public Service Company,lowZTC,Avg,2040,293.580255855046
2023,Arizona Public Service Company,lowZTC,Avg,2041,288.713615842074
2023,Arizona Public Service Company,lowZTC,Avg,2042,290.761884510378
2023,Arizona Public Service Company,lowZTC,Avg,2043,287.458262121797
2023,Arizona Public Service Company,lowZTC,Avg,2044,284.70310779213
2023,Arizona Public Service Company,lowZTC,Avg,2045,278.103050849749
2023,Arizona Public Service Company,lowZTC,Avg,2046,276.484141928981
2023,Arizona Public Service Company,lowZTC,Avg,2047,269.248386948035
2023,Arizona Public Service Company,lowZTC,Avg,2048,270.293627126072
2023,Arizona Public Service Company,lowZTC,Avg,2049,245.923868334252
2023,Arizona Public Service Company,lowZTC,Avg,2050,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2051,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2052,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2053,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2054,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2055,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2056,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2057,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2058,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2059,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2060,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2061,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2062,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2063,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2064,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2065,250.35190725899
2023,Arizona Public Service Company,lowZTC,Avg,2066,250.35190725899
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2023,844.948175771759
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2024,828.002478184808
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2025,828.89885495191
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2026,828.691482796419
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2027,816.347594077099
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2028,804.024580950118
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2029,799.592479712719
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2030,802.243997787397
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2031,793.230607486504
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2032,783.927466015815
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2033,788.795558623459
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2034,783.021207890635
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2035,762.140497699466
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2036,744.326185029985
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2037,729.581606451242
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2038,721.990941401564
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2039,718.889858200459
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2040,700.85582387572
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2041,681.286734770235
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2042,664.632029333853
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2043,657.904607345445
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2044,659.592954383256
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2045,658.308564083808
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2046,651.306164206833
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2047,640.501547172828
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2048,637.264662806356
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2049,631.102616146167
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2050,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2051,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2052,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2053,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2054,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2055,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2056,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2057,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2058,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2059,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2060,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2061,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2062,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2063,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2064,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2065,626.128235539022
2023,"Associated Electric Cooperative, Inc.",lowZTC,Avg,2066,626.128235539022
2023,Avista Corporation,lowZTC,Avg,2023,209.396079200276
2023,Avista Corporation,lowZTC,Avg,2024,203.729618141002
2023,Avista Corporation,lowZTC,Avg,2025,205.977438204736
2023,Avista Corporation,lowZTC,Avg,2026,207.902474718138
2023,Avista Corporation,lowZTC,Avg,2027,209.758569105937
2023,Avista Corporation,lowZTC,Avg,2028,207.772930862711
2023,Avista Corporation,lowZTC,Avg,2029,204.034488992665
2023,Avista Corporation,lowZTC,Avg,2030,203.173860713327
2023,Avista Corporation,lowZTC,Avg,2031,207.360695774136
2023,Avista Corporation,lowZTC,Avg,2032,206.219238170609
2023,Avista Corporation,lowZTC,Avg,2033,198.56497687306
2023,Avista Corporation,lowZTC,Avg,2034,199.788554499469
2023,Avista Corporation,lowZTC,Avg,2035,195.566573272938
2023,Avista Corporation,lowZTC,Avg,2036,188.599332629859
2023,Avista Corporation,lowZTC,Avg,2037,183.7017139154
2023,Avista Corporation,lowZTC,Avg,2038,178.640510796228
2023,Avista Corporation,lowZTC,Avg,2039,180.63412074635
2023,Avista Corporation,lowZTC,Avg,2040,175.557885169147
2023,Avista Corporation,lowZTC,Avg,2041,178.238446638406
2023,Avista Corporation,lowZTC,Avg,2042,177.243177262791
2023,Avista Corporation,lowZTC,Avg,2043,172.086566662822
2023,Avista Corporation,lowZTC,Avg,2044,172.663236586236
2023,Avista Corporation,lowZTC,Avg,2045,168.13470262439
2023,Avista Corporation,lowZTC,Avg,2046,165.463680779547
2023,Avista Corporation,lowZTC,Avg,2047,166.287752165088
2023,Avista Corporation,lowZTC,Avg,2048,158.788690732512
2023,Avista Corporation,lowZTC,Avg,2049,159.266865079961
2023,Avista Corporation,lowZTC,Avg,2050,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2051,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2052,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2053,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2054,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2055,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2056,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2057,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2058,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2059,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2060,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2061,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2062,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2063,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2064,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2065,159.088157016466
2023,Avista Corporation,lowZTC,Avg,2066,159.088157016466
2023,Balancing Authority of Northern California,lowZTC,Avg,2023,458.210498973945
2023,Balancing Authority of Northern California,lowZTC,Avg,2024,440.247523930437
2023,Balancing Authority of Northern California,lowZTC,Avg,2025,448.565485355908
2023,Balancing Authority of Northern California,lowZTC,Avg,2026,452.364535549405
2023,Balancing Authority of Northern California,lowZTC,Avg,2027,450.686698505491
2023,Balancing Authority of Northern California,lowZTC,Avg,2028,449.584240471412
2023,Balancing Authority of Northern California,lowZTC,Avg,2029,446.784224527495
2023,Balancing Authority of Northern California,lowZTC,Avg,2030,433.295511683093
2023,Balancing Authority of Northern California,lowZTC,Avg,2031,359.116790693063
2023,Balancing Authority of Northern California,lowZTC,Avg,2032,352.214664861605
2023,Balancing Authority of Northern California,lowZTC,Avg,2033,349.658963942101
2023,Balancing Authority of Northern California,lowZTC,Avg,2034,345.506937556673
2023,Balancing Authority of Northern California,lowZTC,Avg,2035,345.519416681145
2023,Balancing Authority of Northern California,lowZTC,Avg,2036,344.400858651868
2023,Balancing Authority of Northern California,lowZTC,Avg,2037,343.8701587569
2023,Balancing Authority of Northern California,lowZTC,Avg,2038,343.319737996007
2023,Balancing Authority of Northern California,lowZTC,Avg,2039,343.907596130315
