Release Year,Case,Region,Division,Sector,Year,Natural Gas,Distillate Oil,Electricity,Propane,Residual Fuel Oil,Coal
2024,ref,Midwest,East North Central,Commercial,2024,8.311161,26.763035,33.457115,22.965708,9.528043,
2024,ref,Midwest,East North Central,Commercial,2025,7.697277,24.07884,32.085686,21.12257,9.864408,
2024,ref,Midwest,East North Central,Commercial,2026,7.213395,22.553932,31.397896,20.137461,10.885026,
2024,ref,Midwest,East North Central,Commercial,2027,6.932612,21.068737,30.479881,19.596407,12.342463,
2024,ref,Midwest,East North Central,Commercial,2028,6.80055,19.736523,29.987656,19.47954,13.726312,
2024,ref,Midwest,East North Central,Commercial,2029,6.838484,19.834175,29.74404,19.577282,13.756472,
2024,ref,Midwest,East North Central,Commercial,2030,6.899513,19.808699,29.549721,19.849892,13.846463,
2024,ref,Midwest,East North Central,Commercial,2031,6.992217,19.988838,29.416189,20.208508,13.960589,
2024,ref,Midwest,East North Central,Commercial,2032,7.052506,20.074717,29.369816,20.662394,14.064452,
2024,ref,Midwest,East North Central,Commercial,2033,7.175403,20.195097,29.364088,21.167681,14.159225,
2024,ref,Midwest,East North Central,Commercial,2034,7.284473,20.251549,29.598858,21.58745,14.263415,
2024,ref,Midwest,East North Central,Commercial,2035,7.379818,20.40612,29.425325,21.83782,14.378019,
2024,ref,Midwest,East North Central,Commercial,2036,7.416788,20.443357,29.422565,21.989948,14.468874,
2024,ref,Midwest,East North Central,Commercial,2037,7.486712,20.568119,29.483618,22.161854,14.558815,
2024,ref,Midwest,East North Central,Commercial,2038,7.591681,20.655251,29.574812,22.482821,14.663744,
2024,ref,Midwest,East North Central,Commercial,2039,7.590607,20.704479,29.827995,22.500658,14.741182,
2024,ref,Midwest,East North Central,Commercial,2040,7.667016,20.760288,30.024342,22.768864,14.826251,
2024,ref,Midwest,East North Central,Commercial,2041,7.744075,20.924925,30.188725,22.988968,14.952667,
2024,ref,Midwest,East North Central,Commercial,2042,7.744435,20.92897,30.209969,23.087864,14.9668,
2024,ref,Midwest,East North Central,Commercial,2043,7.71371,21.050079,30.122648,23.090075,15.033811,
2024,ref,Midwest,East North Central,Commercial,2044,7.675943,20.963638,30.075787,23.043442,15.003089,
2024,ref,Midwest,East North Central,Commercial,2045,7.675795,21.029421,30.078459,23.088902,15.055982,
2024,ref,Midwest,East North Central,Commercial,2046,7.663103,21.256489,29.916706,23.084749,15.213658,
2024,ref,Midwest,East North Central,Commercial,2047,7.63932,21.276752,29.553787,23.11602,15.214566,
2024,ref,Midwest,East North Central,Commercial,2048,7.607337,21.320807,29.575176,23.199942,15.33619,
