release_year,year,division,sector,case,region,propane,distillate_fuel_oil,residual_fuel_oil,natural_gas,electricity,coal
2025,2024,East North Central,Commercial,REF,Midwest,17.543947,22.133821,6.875613,7.574775,36.310246,
2025,2025,East North Central,Commercial,REF,Midwest,17.530003,20.95649,8.029397,6.879991,35.64669,
2025,2026,East North Central,Commercial,REF,Midwest,18.306999,19.730082,8.511486,7.025198,34.084766,
2025,2027,East North Central,Commercial,REF,Midwest,18.130379,19.231709,9.573421,7.162347,32.309307,
2025,2028,East North Central,Commercial,REF,Midwest,18.243702,18.943537,10.519809,7.437314,32.159248,
2025,2029,East North Central,Commercial,REF,Midwest,18.535748,18.681383,11.545022,7.796461,32.60033,
2025,2030,East North Central,Commercial,REF,Midwest,18.95253,18.447943,12.628589,8.138316,32.953526,
2025,2031,East North Central,Commercial,REF,Midwest,19.345015,18.51618,12.549569,8.283791,33.764305,
2025,2032,East North Central,Commercial,REF,Midwest,20.114452,18.443151,12.367037,8.636756,33.494892,
2025,2033,East North Central,Commercial,REF,Midwest,21.024469,18.758629,12.800994,8.967434,34.138382,
2025,2034,East North Central,Commercial,REF,Midwest,21.624041,18.892052,12.799841,9.15018,33.884632,
2025,2035,East North Central,Commercial,REF,Midwest,21.90909,19.111769,13.004584,9.23825,33.350986,
2025,2036,East North Central,Commercial,REF,Midwest,21.996201,19.198982,13.24304,9.232751,32.370583,
2025,2037,East North Central,Commercial,REF,Midwest,22.016518,19.378942,13.405793,9.171231,32.281666,
2025,2038,East North Central,Commercial,REF,Midwest,21.96987,19.491692,13.415963,9.084813,31.834116,
2025,2039,East North Central,Commercial,REF,Midwest,21.946194,19.623911,13.458285,9.028602,31.179483,
2025,2040,East North Central,Commercial,REF,Midwest,22.037886,19.84231,13.52164,9.020835,30.771843,
2025,2041,East North Central,Commercial,REF,Midwest,22.210703,20.086462,13.555829,9.111294,30.687033,
2025,2042,East North Central,Commercial,REF,Midwest,22.331072,20.197596,13.736842,9.174656,30.70059,
2025,2043,East North Central,Commercial,REF,Midwest,22.700924,20.514933,13.734542,9.236122,30.598146,
2025,2044,East North Central,Commercial,REF,Midwest,22.88658,20.71187,13.308995,9.264338,30.504477,
2025,2045,East North Central,Commercial,REF,Midwest,23.05905,20.779369,13.377777,9.323726,30.652508,
2025,2046,East North Central,Commercial,REF,Midwest,23.265156,21.029921,13.6418,9.399702,30.814041,
2025,2047,East North Central,Commercial,REF,Midwest,23.693972,21.546459,14.119814,9.400828,30.680281,
2025,2048,East North Central,Commercial,REF,Midwest,23.848341,21.553814,14.13711,9.362249,30.908018,
2025,2049,East North Central,Commercial,REF,Midwest,23.954945,21.551989,14.207442,9.335614,31.110662,
2025,2050,East North Central,Commercial,REF,Midwest,24.014618,21.662426,14.521511,9.295831,31.156733,
2025,2051,East North Central,Commercial,REF,Midwest,24.2019835,21.82055225,14.74143875,9.26986325,31.242406,
2025,2052,East North Central,Commercial,REF,Midwest,24.389349,21.9786785,14.9613665,9.2438955,31.328079,
2025,2053,East North Central,Commercial,REF,Midwest,24.5767145,22.13680475,15.18129425,9.21792775,31.413752,
2025,2054,East North Central,Commercial,REF,Midwest,24.76408,22.294931,15.401222,9.19196,31.499425,
2025,2055,East North Central,Commercial,REF,Midwest,24.9514455,22.45305725,15.62114975,9.16599225,31.585098,
2025,2056,East North Central,Commercial,REF,Midwest,25.138811,22.6111835,15.8410775,9.1400245,31.670771,
2025,2057,East North Central,Commercial,REF,Midwest,25.3261765,22.76930975,16.06100525,9.11405675,31.756444,
2025,2058,East North Central,Commercial,REF,Midwest,25.513542,22.927436,16.280933,9.088089,31.842117,
2025,2059,East North Central,Commercial,REF,Midwest,25.7009075,23.08556225,16.50086075,9.06212125,31.92779,
2025,2060,East North Central,Commercial,REF,Midwest,25.888273,23.2436885,16.7207885,9.0361535,32.013463,
2025,2061,East North Central,Commercial,REF,Midwest,26.0756385,23.40181475,16.94071625,9.01018575,32.099136,
2025,2062,East North Central,Commercial,REF,Midwest,26.263004,23.559941,17.160644,8.984218,32.184809,
2025,2063,East North Central,Commercial,REF,Midwest,26.4503695,23.71806725,17.38057175,8.95825025,32.270482,
2025,2064,East North Central,Commercial,REF,Midwest,26.637735,23.8761935,17.6004995,8.9322825,32.356155,
2025,2065,East North Central,Commercial,REF,Midwest,26.8251005,24.03431975,17.82042725,8.90631475,32.441828,
2025,2066,East North Central,Commercial,REF,Midwest,27.012466,24.192446,18.040355,8.880347,32.527501,
2025,2067,East North Central,Commercial,REF,Midwest,27.1998315,24.35057225,18.26028275,8.85437925,32.613174,
2025,2068,East North Central,Commercial,REF,Midwest,27.387197,24.5086985,18.4802105,8.8284115,32.698847,
2025,2024,East North Central,Industrial,REF,Midwest,12.660267,22.6283,6.804973,3.75461,25.842646,2.721485
2025,2025,East North Central,Industrial,REF,Midwest,12.598665,21.30969,7.982304,4.502936,25.58725,2.637675
2025,2026,East North Central,Industrial,REF,Midwest,13.394816,20.016998,8.473811,4.379534,23.829334,2.613688
2025,2027,East North Central,Industrial,REF,Midwest,13.209965,19.457123,9.545165,4.253024,22.471786,2.590743
2025,2028,East North Central,Industrial,REF,Midwest,13.321319,19.114395,10.500972,4.292352,22.290323,2.551494
2025,2029,East North Central,Industrial,REF,Midwest,13.630307,18.797421,11.535602,4.395638,22.63192,2.5739
2025,2030,East North Central,Industrial,REF,Midwest,14.077855,18.505417,12.628589,4.509226,22.964695,2.5694
2025,2031,East North Central,Industrial,REF,Midwest,14.506038,18.57341,12.549569,4.631536,23.573744,2.561905
2025,2032,East North Central,Industrial,REF,Midwest,15.351458,18.505236,12.367037,5.034337,23.704052,2.56253
2025,2033,East North Central,Industrial,REF,Midwest,16.374956,18.824289,12.800994,5.343722,24.444172,2.561408
2025,2034,East North Central,Industrial,REF,Midwest,17.06802,18.960901,12.799841,5.50411,24.284431,2.566897
2025,2035,East North Central,Industrial,REF,Midwest,17.404821,19.193111,13.004584,5.566411,23.927513,2.491567
2025,2036,East North Central,Industrial,REF,Midwest,17.510601,19.289322,13.24304,5.547252,23.213749,2.483772
2025,2037,East North Central,Industrial,REF,Midwest,17.535862,19.474491,13.405793,5.458942,23.037228,2.484607
2025,2038,East North Central,Industrial,REF,Midwest,17.482494,19.578453,13.415963,5.342625,22.612715,2.492795
2025,2039,East North Central,Industrial,REF,Midwest,17.454222,19.716785,13.458285,5.265223,22.061783,2.468614
2025,2040,East North Central,Industrial,REF,Midwest,17.558428,19.942255,13.52164,5.2556,21.722862,2.464491
2025,2041,East North Central,Industrial,REF,Midwest,17.757956,20.182632,13.555829,5.327809,21.662123,2.479119
2025,2042,East North Central,Industrial,REF,Midwest,17.899094,20.296595,13.736842,5.375464,21.655405,2.48257
2025,2043,East North Central,Industrial,REF,Midwest,18.329903,20.613682,13.734542,5.413403,21.529804,2.486631
2025,2044,East North Central,Industrial,REF,Midwest,18.551895,20.814573,13.308995,5.424839,21.478556,2.487825
2025,2045,East North Central,Industrial,REF,Midwest,18.757282,20.880833,13.377777,5.454472,21.628496,2.490712
2025,2046,East North Central,Industrial,REF,Midwest,19.002394,21.132401,13.6418,5.508835,21.749199,2.494877
2025,2047,East North Central,Industrial,REF,Midwest,19.512751,21.649006,14.119814,5.482512,21.671282,2.495255
2025,2048,East North Central,Industrial,REF,Midwest,19.70311,21.655993,14.13711,5.431362,21.84551,2.495392
2025,2049,East North Central,Industrial,REF,Midwest,19.833578,21.645664,14.207442,5.374894,21.991604,2.496866
2025,2050,East North Central,Industrial,REF,Midwest,19.906801,21.759747,14.521511,5.316769,22.005581,2.498476
2025,2051,East North Central,Industrial,REF,Midwest,20.13290275,21.9165835,14.74143875,5.2687525,22.0696765,2.49937575
2025,2052,East North Central,Industrial,REF,Midwest,20.3590045,22.07342,14.9613665,5.220736,22.133772,2.5002755
2025,2053,East North Central,Industrial,REF,Midwest,20.58510625,22.2302565,15.18129425,5.1727195,22.1978675,2.50117525
2025,2054,East North Central,Industrial,REF,Midwest,20.811208,22.387093,15.401222,5.124703,22.261963,2.502075
2025,2055,East North Central,Industrial,REF,Midwest,21.03730975,22.5439295,15.62114975,5.0766865,22.3260585,2.50297475
2025,2056,East North Central,Industrial,REF,Midwest,21.2634115,22.700766,15.8410775,5.02867,22.390154,2.5038745
2025,2057,East North Central,Industrial,REF,Midwest,21.48951325,22.8576025,16.06100525,4.9806535,22.4542495,2.50477425
2025,2058,East North Central,Industrial,REF,Midwest,21.715615,23.014439,16.280933,4.932637,22.518345,2.505674
2025,2059,East North Central,Industrial,REF,Midwest,21.94171675,23.1712755,16.50086075,4.8846205,22.5824405,2.50657375
2025,2060,East North Central,Industrial,REF,Midwest,22.1678185,23.328112,16.7207885,4.836604,22.646536,2.5074735
2025,2061,East North Central,Industrial,REF,Midwest,22.39392025,23.4849485,16.94071625,4.7885875,22.7106315,2.50837325
2025,2062,East North Central,Industrial,REF,Midwest,22.620022,23.641785,17.160644,4.740571,22.774727,2.509273
2025,2063,East North Central,Industrial,REF,Midwest,22.84612375,23.7986215,17.38057175,4.6925545,22.8388225,2.51017275
2025,2064,East North Central,Industrial,REF,Midwest,23.0722255,23.955458,17.6004995,4.644538,22.902918,2.5110725
2025,2065,East North Central,Industrial,REF,Midwest,23.29832725,24.1122945,17.82042725,4.5965215,22.9670135,2.51197225
2025,2066,East North Central,Industrial,REF,Midwest,23.524429,24.269131,18.040355,4.548505,23.031109,2.512872
2025,2067,East North Central,Industrial,REF,Midwest,23.75053075,24.4259675,18.26028275,4.5004885,23.0952045,2.51377175
2025,2068,East North Central,Industrial,REF,Midwest,23.9766325,24.582804,18.4802105,4.452472,23.1593,2.5146715
2025,2024,East North Central,Residential,REF,Midwest,23.87751,18.083803,,10.980869,44.155857,
